Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PN-3b Performance Rate,PN-3b Achievement Points,PN-3b Improvement Points,PN-3b Measure Score,PN-6 Performance Rate,PN-6 Achievement Points,PN-6 Improvement Points,PN-6 Measure Score,PN Condition/Procedure Score
"370094","MIDWEST REGIONAL MEDICAL CENTER","2825 PARKLAWN DRIVE","Midwest City","OK","73110","OKLAHOMA","0.99441","7 out of 10","0 out of 9","7 out of 10","0.96528","2 out of 10","3 out of 9","3 out of 10","10"
"330119","LENOX HILL HOSPITAL","100 EAST 77TH STREET","New York","NY","10021","NEW YORK","0.97452","0 out of 10","0 out of 9","0 out of 10","0.94805","0 out of 10","2 out of 9","2 out of 10","2"
"330080","LINCOLN MEDICAL & MENTAL HEALTH CENTER","234 EAST 149TH STREET","Bronx","NY","10451","BRONX","0.96994","0 out of 10","2 out of 9","2 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","12"
"290006","BANNER CHURCHILL COMMUNITY HOSPITAL","801 EAST WILLIAMS AVENUE","Fallon","NV","89406","CHURCHILL","0.97436","0 out of 10","4 out of 9","4 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","14"
"250097","SOUTHWEST MS REGIONAL MEDICAL CENTER","215 MARION AV BOX 1307","Mccomb","MS","39649","PIKE","0.98333","3 out of 10","0 out of 9","3 out of 10","0.89623","0 out of 10","0 out of 9","0 out of 10","3"
"050211","ALAMEDA HOSPITAL","2070 CLINTON AVE","Alameda","CA","94501","ALAMEDA","0.98425","3 out of 10","7 out of 9","7 out of 10","0.96552","2 out of 10","5 out of 9","5 out of 10","12"
"290041","SUMMERLIN HOSPITAL MEDICAL CENTER","657 TOWN CENTER DRIVE","Las Vegas","NV","89144","CLARK","0.87778","0 out of 10","0 out of 9","0 out of 10","0.94203","0 out of 10","0 out of 9","0 out of 10","0"
"500129","TACOMA GENERAL ALLENMORE HOSPITAL","315 S MLK JR WAY","Tacoma","WA","98405","PIERCE","0.96181","0 out of 10","0 out of 9","0 out of 10","0.97268","3 out of 10","0 out of 9","3 out of 10","3"
"440031","ROANE MEDICAL CENTER","8045 ROANE MEDICAL CENTER DRIVE","Harriman","TN","37748","ROANE","0.98571","4 out of 10","0 out of 9","4 out of 10","0.96907","3 out of 10","2 out of 9","3 out of 10","7"
"160083","MERCY MEDICAL CENTER-DES MOINES","1111 6TH AVE","Des Moines","IA","50314","POLK","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98750","7 out of 10","0 out of 9","7 out of 10","17"
"140067","SAINT FRANCIS MEDICAL CENTER","530 NE GLEN OAK AVE","Peoria","IL","61637","PEORIA","0.99071","6 out of 10","8 out of 9","8 out of 10","0.96330","1 out of 10","5 out of 9","5 out of 10","13"
"230035","SPECTRUM HEALTH UNITED MEMORIAL - UNITED CAMPUS","615 S BOWER STREET","Greenville","MI","48838","MONTCALM","0.98104","2 out of 10","0 out of 9","2 out of 10","0.94175","0 out of 10","0 out of 9","0 out of 10","2"
"100296","DOCTORS HOSPITAL INC","5000 UNIVERSITY DR","Coral Gables","FL","33146","DADE","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97590","4 out of 10","2 out of 9","4 out of 10","14"
"330043","SOUTHSIDE HOSPITAL","301 EAST MAIN STREET","Bay Shore","NY","11706","SUFFOLK","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"340064","WILKES REGIONAL MEDICAL CENTER","1370 WEST D ST","North Wilkesboro","NC","28659","WILKES","0.98397","3 out of 10","5 out of 9","5 out of 10","0.94656","0 out of 10","0 out of 9","0 out of 10","5"
"100265","MEASE COUNTRYSIDE HOSPITAL","3231 MCMULLEN BOOTH RD","Safety Harbor","FL","34695","PINELLAS","0.99096","6 out of 10","3 out of 9","6 out of 10","0.98052","5 out of 10","5 out of 9","5 out of 10","11"
"310039","RARITAN BAY MEDICAL CENTER","530 NEW BRUNSWICK AVE","Perth Amboy","NJ","08861","MIDDLESEX","0.98433","3 out of 10","0 out of 9","3 out of 10","0.93548","0 out of 10","0 out of 9","0 out of 10","3"
"190039","WEST JEFFERSON MEDICAL CENTER","1101 MEDICAL CENTER BLVD","Marrero","LA","70072","JEFFERSON","0.97396","0 out of 10","0 out of 9","0 out of 10","0.98361","6 out of 10","0 out of 9","6 out of 10","6"
"250038","MADISON RIVER OAKS MEDICAL CENTER","161 RIVER OAKS DRIVE","Canton","MS","39046","MADISON","0.95556","0 out of 10","2 out of 9","2 out of 10","0.83333","0 out of 10","0 out of 9","0 out of 10","2"
"360239","SYCAMORE MEDICAL CENTER","4000 MIAMISBURG-CENTERVILLE ROAD","Miamisburg","OH","45342","MONTGOMERY","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99248","8 out of 10","8 out of 9","8 out of 10","18"
"360010","UNION HOSPITAL","659 BOULEVARD","Dover","OH","44622","TUSCARAWAS","0.99479","7 out of 10","2 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","17"
"340131","CAROLINA EAST MEDICAL CENTER","2000 NEUSE BLVD","New Bern","NC","28560","CRAVEN","0.97734","0 out of 10","4 out of 9","4 out of 10","0.90286","0 out of 10","0 out of 9","0 out of 10","4"
"240056","RIDGEVIEW MEDICAL CENTER","500 SOUTH MAPLE STREET","Waconia","MN","55387","CARVER","0.98611","4 out of 10","4 out of 9","4 out of 10","0.97727","4 out of 10","6 out of 9","6 out of 10","10"
"110027","TY COBB REGIONAL MEDICAL CENTER, LLC","367 CLEAR CREEK PARKWAY","Lavonia","GA","30553","FRANKLIN","0.88462","0 out of 10","0 out of 9","0 out of 10","0.79412","0 out of 10","0 out of 9","0 out of 10","0"
"130002","ST LUKE'S MAGIC VALLEY RMC","801 POLE LINE ROAD WEST","Twin Falls","ID","83301","TWIN FALLS","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"140095","SAINT ANTHONY HOSPITAL","2875 WEST 19TH STREET","Chicago","IL","60623","COOK","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"450028","VHS BROWNSVILLE HOSPITAL COMPANY, LLC","1040 W JEFFERSON ST","Brownsville","TX","78520","CAMERON","0.97690","0 out of 10","5 out of 9","5 out of 10","0.98131","5 out of 10","6 out of 9","6 out of 10","11"
"450796","NORTHWEST TEXAS SURGERY CENTER","3501 SONCY RD SUITE 118","Amarillo","TX","79109","RANDALL","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050424","SCRIPPS GREEN HOSPITAL","10666 NORTH TORREY PINES ROAD","La Jolla","CA","92037","SAN DIEGO","Not Available","Not Available","Not Available","Not Available","0.99138","8 out of 10","3 out of 9","8 out of 10","8"
"050290","PROVIDENCE SAINT JOHN'S HEALTH CENTER","2121 SANTA MONICA BLVD","Santa Monica","CA","90404","LOS ANGELES","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98148","5 out of 10","0 out of 9","5 out of 10","15"
"310086","KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV","18 EAST LAUREL ROAD","Stratford","NJ","08084","CAMDEN","0.99530","8 out of 10","5 out of 9","8 out of 10","0.98301","6 out of 10","1 out of 9","6 out of 10","14"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","Phoenix","AZ","85015","MARICOPA","0.97491","0 out of 10","3 out of 9","3 out of 10","0.96753","2 out of 10","0 out of 9","2 out of 10","5"
"310057","VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","175 MADISON AVE","Mount Holly","NJ","08060","BURLINGTON","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97959","5 out of 10","1 out of 9","5 out of 10","15"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER","300 EL CAMINO REAL","Sierra Vista","AZ","85635","COCHISE","0.96732","0 out of 10","0 out of 9","0 out of 10","0.91753","0 out of 10","0 out of 9","0 out of 10","0"
"370227","ST JOHN OWASSO","12451 EAST 100TH STREET NORTH","Owasso","OK","74055","TULSA","0.98969","5 out of 10","7 out of 9","7 out of 10","0.96000","1 out of 10","0 out of 9","1 out of 10","8"
"250025","GILMORE MEMORIAL REGIONAL MEDICAL CENTER","1105 EARL FRYE BLVD","Amory","MS","38821","MONROE","0.96842","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"230075","BRONSON BATTLE CREEK HOSPITAL","300 NORTH AVENUE","Battle Creek","MI","49016","CALHOUN","0.96916","0 out of 10","0 out of 9","0 out of 10","0.97931","5 out of 10","5 out of 9","5 out of 10","5"
"300005","LAKES REGION GENERAL HOSPITAL","80 HIGHLAND ST","Laconia","NH","03246","BELKNAP","0.98851","5 out of 10","7 out of 9","7 out of 10","0.96552","2 out of 10","6 out of 9","6 out of 10","13"
"230222","MIDMICHIGAN MEDICAL CENTER-MIDLAND","4000 WELLNESS DRIVE","Midland","MI","48670","MIDLAND","0.98571","4 out of 10","6 out of 9","6 out of 10","0.95775","0 out of 10","4 out of 9","4 out of 10","10"
"390137","WILKES-BARRE GENERAL HOSPITAL","575 NORTH RIVER STREET","Wilkes-Barre","PA","18764","LUZERNE","0.97772","0 out of 10","4 out of 9","4 out of 10","0.96087","1 out of 10","5 out of 9","5 out of 10","9"
"170068","SOUTHWEST MEDICAL CENTER","315 WEST 15TH STREET","Liberal","KS","67901","SEWARD","0.96552","0 out of 10","8 out of 9","8 out of 10","0.87179","0 out of 10","6 out of 9","6 out of 10","14"
"100044","MARTIN MEDICAL CENTER","200 SE HOSPITAL AVE","Stuart","FL","34994","MARTIN","0.97590","0 out of 10","0 out of 9","0 out of 10","0.97590","4 out of 10","0 out of 9","4 out of 10","4"
"140040","GALESBURG COTTAGE HOSPITAL","695 N KELLOGG ST","Galesburg","IL","61401","KNOX","0.99187","6 out of 10","0 out of 9","6 out of 10","0.96875","3 out of 10","0 out of 9","3 out of 10","9"
"330013","ALBANY MEDICAL CENTER HOSPITAL","43 NEW SCOTLAND AVENUE","Albany","NY","12208","ALBANY","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97980","5 out of 10","0 out of 9","5 out of 10","15"
"450222","CONROE REGIONAL MEDICAL CENTER","504 MEDICAL CENTER BLVD","Conroe","TX","77304","MONTGOMERY","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"310075","MONMOUTH MEDICAL CENTER","300 SECOND AVENUE","Long Branch","NJ","07740","MONMOUTH","0.98857","5 out of 10","0 out of 9","5 out of 10","0.96667","2 out of 10","0 out of 9","2 out of 10","7"
"670073","METHODIST HOSPITAL FOR SURGERY","17101 DALLAS PARKWAY","Addison","TX","75001","DALLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250095","SOUTH SUNFLOWER COUNTY HOSPITAL","121 E BAKER ST","Indianola","MS","38751","SUNFLOWER","Not Available","Not Available","Not Available","Not Available","0.88889","0 out of 10","0 out of 9","0 out of 10","0"
"380082","PROVIDENCE MILWAUKIE HOSPITAL","10150 SE 32ND AVENUE","Milwaukie","OR","97222","CLACKAMAS","0.98980","5 out of 10","2 out of 9","5 out of 10","0.97222","3 out of 10","5 out of 9","5 out of 10","10"
"260095","CENTERPOINT MEDICAL CENTER","19600 EAST 39TH STREET","Independence","MO","64057-2301","JACKSON","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98649","7 out of 10","3 out of 9","7 out of 10","17"
"150169","COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DR","Indianapolis","IN","46256","MARION","0.99387","7 out of 10","8 out of 9","8 out of 10","0.97000","3 out of 10","5 out of 9","5 out of 10","13"
"190298","CENTRAL LOUISIANA SURGICAL HOSPITAL","651 NORTH BOLTON AVE","Alexandria","LA","71301","RAPIDES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500026","SWEDISH EDMONDS HOSPITAL","21601 76TH AVENUE WEST","Edmonds","WA","98026","SNOHOMISH","0.96429","0 out of 10","0 out of 9","0 out of 10","0.98137","5 out of 10","7 out of 9","7 out of 10","7"
"330218","OSWEGO HOSPITAL","110 WEST SIXTH STREET","Oswego","NY","13069","OSWEGO","0.97273","0 out of 10","0 out of 9","0 out of 10","0.98485","6 out of 10","7 out of 9","7 out of 10","7"
"360095","BLANCHARD VALLEY HOSPITAL","1900 SOUTH MAIN STREET","Findlay","OH","45840","HANCOCK","0.96552","0 out of 10","0 out of 9","0 out of 10","0.95413","0 out of 10","0 out of 9","0 out of 10","0"
"500016","CENTRAL WASHINGTON HOSPITAL","1201 SOUTH MILLER STREET","Wenatchee","WA","98807","CHELAN","0.98701","4 out of 10","6 out of 9","6 out of 10","0.95833","0 out of 10","0 out of 9","0 out of 10","6"
"490052","RIVERSIDE REGIONAL MEDICAL CENTER","500 J CLYDE MORRIS BLVD","Newport News","VA","23601","NEWPORT NEWS CITY","0.99563","8 out of 10","1 out of 9","8 out of 10","0.98734","7 out of 10","0 out of 9","7 out of 10","15"
"500072","OLYMPIC MEDICAL CENTER","939 CAROLINE ST","Port Angeles","WA","98362","CLALLAM","0.99310","7 out of 10","9 out of 9","9 out of 10","0.95192","0 out of 10","5 out of 9","5 out of 10","14"
"050191","ST MARY MEDICAL CENTER","1050 LINDEN AVE","Long Beach","CA","90813","LOS ANGELES","0.96855","0 out of 10","0 out of 9","0 out of 10","0.98387","6 out of 10","2 out of 9","6 out of 10","6"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","Pell City","AL","35125","SAINT CLAIR","0.98684","4 out of 10","0 out of 9","4 out of 10","0.96063","1 out of 10","4 out of 9","4 out of 10","8"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","Birmingham","AL","35249","JEFFERSON","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98077","5 out of 10","7 out of 9","7 out of 10","17"
"230059","SAINT MARY'S HEALTH CARE","200 JEFFERSON AVENUE SE","Grand Rapids","MI","49503","KENT","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"280032","MARY LANNING HEALTHCARE","715 N ST JOSEPH AVE","Hastings","NE","68901","ADAMS","0.98276","3 out of 10","0 out of 9","3 out of 10","0.92308","0 out of 10","0 out of 9","0 out of 10","3"
"070005","WATERBURY HOSPITAL","64 ROBBINS ST","Waterbury","CT","06721","NEW HAVEN","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98969","7 out of 10","8 out of 9","8 out of 10","18"
"200001","ST JOSEPH HOSPITAL","360 BROADWAY","Bangor","ME","04401","PENOBSCOT","0.96983","0 out of 10","0 out of 9","0 out of 10","0.98039","5 out of 10","3 out of 9","5 out of 10","5"
"330126","ORANGE REGIONAL MEDICAL CENTER","707 EAST MAIN STREET","Middletown","NY","10940","ORANGE","0.99123","6 out of 10","7 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","17"
"170009","SAINT JOHN HOSPITAL","3500 SOUTH 4TH STREET","Leavenworth","KS","66048","LEAVENWORTH","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"670029","FIRST SURGICAL HOSPITAL","4801 BISSONNET BLVD","Bellaire","TX","77401","HARRIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390127","PHOENIXVILLE HOSPITAL","140 NUTT ROAD","Phoenixville","PA","19460","CHESTER","0.99457","7 out of 10","6 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","17"
"190242","ST ELIZABETH HOSPITAL","1125 WEST HIGHWAY 30","Gonzales","LA","70737","ASCENSION","0.99387","7 out of 10","1 out of 9","7 out of 10","0.96341","1 out of 10","3 out of 9","3 out of 10","10"
"390118","BRADFORD REGIONAL MEDICAL CENTER","116 INTERSTATE PARKWAY","Bradford","PA","16701","MCKEAN","0.99254","6 out of 10","0 out of 9","6 out of 10","0.86813","0 out of 10","0 out of 9","0 out of 10","6"
"150165","FRANCISCAN HEALTHCARE - MUNSTER","701 SUPERIOR AVE","Munster","IN","46321","LAKE","Not Available","Not Available","Not Available","Not Available","0.95238","0 out of 10","6 out of 9","6 out of 10","6"
"100045","FLORIDA HOSPITAL DELAND","701 W PLYMOUTH AVE","Deland","FL","32720","VOLUSIA","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97826","5 out of 10","5 out of 9","5 out of 10","15"
"100008","BAPTIST HOSPITAL OF MIAMI INC","8900 N KENDALL DR","Miami","FL","33176","DADE","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"360039","GENESIS HEALTHCARE SYSTEM","2951 MAPLE AVENUE","Zanesville","OH","43701","MUSKINGUM","0.99761","9 out of 10","9 out of 9","9 out of 10","0.98276","6 out of 10","7 out of 9","7 out of 10","16"
"110041","HABERSHAM COUNTY MEDICAL CTR","541 HISTORIC HIGHWAY 441-NORTH","Demorest","GA","30535","HABERSHAM","0.98565","4 out of 10","5 out of 9","5 out of 10","0.91603","0 out of 10","0 out of 9","0 out of 10","5"
"100292","SACRED HEART HOSPITAL ON THE EMERALD COAST","7800 US HWY 98 W","Destin","FL","32550","WALTON","0.98077","2 out of 10","0 out of 9","2 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","12"
"050376","LAC/HARBOR-UCLA MED CENTER","1000 W CARSON ST","Torrance","CA","90509","LOS ANGELES","0.91954","0 out of 10","0 out of 9","0 out of 10","0.90541","0 out of 10","0 out of 9","0 out of 10","0"
"340020","CENTRAL CAROLINA HOSPITAL","1135 CARTHAGE ST","Sanford","NC","27330","LEE","0.98639","4 out of 10","0 out of 9","4 out of 10","0.97273","3 out of 10","0 out of 9","3 out of 10","7"
"320005","SAN JUAN REGIONAL MEDICAL CENTER","801 WEST MAPLE STREET","Farmington","NM","87401","SAN JUAN","0.99361","7 out of 10","8 out of 9","8 out of 10","0.98675","7 out of 10","4 out of 9","7 out of 10","15"
"330079","ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","Saranac Lake","NY","12983","FRANKLIN","0.94444","0 out of 10","0 out of 9","0 out of 10","0.85000","0 out of 10","0 out of 9","0 out of 10","0"
"500044","DEACONESS HOSPITAL","W 800 FIFTH AVENUE","Spokane","WA","99210","SPOKANE","0.99338","7 out of 10","3 out of 9","7 out of 10","0.96460","2 out of 10","0 out of 9","2 out of 10","9"
"390091","UPMC NORTHWEST","100 FAIRFIELD DRIVE","Seneca","PA","16346","VENANGO","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97030","3 out of 10","3 out of 9","3 out of 10","13"
"390265","JEFFERSON REGIONAL MEDICAL CENTER","565 COAL VALLEY RD","Jefferson Hills","PA","15025","ALLEGHENY","0.88321","0 out of 10","0 out of 9","0 out of 10","0.93534","0 out of 10","0 out of 9","0 out of 10","0"
"230208","CARSON CITY HOSPITAL","406 EAST ELM ST","Carson City","MI","48811","MONTCALM","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"110046","CLEARVIEW  REGIONAL MEDICAL CENTER","2151 WEST SPRING STREET","Monroe","GA","30655","WALTON","1.00000","10 out of 10","0 out of 9","10 out of 10","0.95918","1 out of 10","0 out of 9","1 out of 10","11"
"290054","CENTENNIAL HILLS HOSPITAL MEDICAL CENTER","6900 N DURANGO DR","Las Vegas","NV","89149","CLARK","0.97368","0 out of 10","6 out of 9","6 out of 10","0.96907","3 out of 10","4 out of 9","4 out of 10","10"
"250043","NESHOBA COUNTY GENERAL HOSPITAL","1001 HOLLAND AVENUE","Philadelphia","MS","39350","NESHOBA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"300014","FRISBIE MEMORIAL HOSPITAL","11 WHITEHALL ROAD","Rochester","NH","03867","STRAFFORD","0.96094","0 out of 10","2 out of 9","2 out of 10","0.93443","0 out of 10","2 out of 9","2 out of 10","4"
"140197","METHODIST HOSPITAL OF CHICAGO","5025 N PAULINA STREET","Chicago","IL","60640","COOK","0.96104","0 out of 10","0 out of 9","0 out of 10","1.00000","10 out of 10","Not Available","10 out of 10","10"
"330264","ST LUKE'S CORNWALL HOSPITAL","70 DUBOIS STREET","Newburgh","NY","12550","ORANGE","0.99327","7 out of 10","4 out of 9","7 out of 10","0.96753","2 out of 10","2 out of 9","2 out of 10","9"
"360075","UHHS RICHMOND HEIGHTS HOSPITAL","27100 CHARDON ROAD","Richmond Heights","OH","44143","CUYAHOGA","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98214","6 out of 10","7 out of 9","7 out of 10","17"
"110023","GORDON HOSPITAL","1035 RED BUD ROAD","Calhoun","GA","30701","GORDON","0.99519","8 out of 10","7 out of 9","8 out of 10","0.99138","8 out of 10","8 out of 9","8 out of 10","16"
"050393","PIH HOSPITAL - DOWNEY","11500 BROOKSHIRE AVENUE","Downey","CA","90241","LOS ANGELES","0.94697","0 out of 10","6 out of 9","6 out of 10","0.96694","2 out of 10","6 out of 9","6 out of 10","12"
"100180","ST PETERSBURG GENERAL HOSPITAL","6500 38TH AVE N","Saint Petersburg","FL","33710","PINELLAS","1.00000","10 out of 10","9 out of 9","10 out of 10","0.95455","0 out of 10","0 out of 9","0 out of 10","10"
"190259","LAFAYETTE SURGICAL SPECIALTY HOSPITAL","1101 KALISTE SALOOM RD","Lafayette","LA","70508","LAFAYETTE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100281","MEMORIAL HOSPITAL WEST","703 N FLAMINGO RD","Pembroke Pines","FL","33028","BROWARD","0.99780","9 out of 10","9 out of 9","9 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","19"
"390151","CHAMBERSBURG HOSPITAL","112 NORTH SEVENTH STREET","Chambersburg","PA","17201","FRANKLIN","0.98496","3 out of 10","4 out of 9","4 out of 10","0.92405","0 out of 10","4 out of 9","4 out of 10","8"
"310028","NEWTON MEDICAL CENTER","175 HIGH ST","Newton","NJ","07860","SUSSEX","0.95122","0 out of 10","0 out of 9","0 out of 10","0.97674","4 out of 10","6 out of 9","6 out of 10","6"
"490116","LEWISGALE HOSPITAL PULASKI","2400 LEE HIGHWAY","Pulaski","VA","24301","PULASKI","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"110007","PHOEBE PUTNEY MEMORIAL HOSPITAL","417 THIRD AVENUE","Albany","GA","31703","DOUGHERTY","0.97059","0 out of 10","4 out of 9","4 out of 10","0.94009","0 out of 10","3 out of 9","3 out of 10","7"
"520030","ASPIRUS WAUSAU HOSPITAL","333 PINE RIDGE BLVD","Wausau","WI","54401","MARATHON","0.96032","0 out of 10","0 out of 9","0 out of 10","0.97101","3 out of 10","6 out of 9","6 out of 10","6"
"050727","COMMUNITY HOSPITAL OF LONG BEACH","1720 TERMINO AVENUE","Long Beach","CA","90804","LOS ANGELES","0.96791","0 out of 10","0 out of 9","0 out of 10","0.98113","5 out of 10","0 out of 9","5 out of 10","5"
"230078","LAKELAND COMMUNITY HOSPITAL, WATERVLIET","400 MEDICAL PARK DR","Watervliet","MI","49098","BERRIEN","0.97917","1 out of 10","5 out of 9","5 out of 10","0.94872","0 out of 10","0 out of 9","0 out of 10","5"
"100269","PALMS WEST HOSPITAL","13001 SOUTHERN BLVD","Loxahatchee","FL","33470","PALM BEACH","0.98477","3 out of 10","0 out of 9","3 out of 10","0.99160","8 out of 10","1 out of 9","8 out of 10","11"
"180132","LAKE CUMBERLAND REGIONAL HOSPITAL","305 LANGDON STREET","Somerset","KY","42503","PULASKI","1.00000","10 out of 10","0 out of 9","10 out of 10","0.97531","4 out of 10","0 out of 9","4 out of 10","14"
"130025","MADISON MEMORIAL HOSPITAL","255 N 3RD E","Rexburg","ID","83440","MADISON","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97059","3 out of 10","6 out of 9","6 out of 10","16"
"150024","ESKENAZI HEALTH","720 ESKENAZI AVENUE","Indianapolis","IN","46202","MARION","0.96639","0 out of 10","5 out of 9","5 out of 10","0.97333","4 out of 10","1 out of 9","4 out of 10","9"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","Glendale","AZ","853064696","MARICOPA","0.98343","3 out of 10","0 out of 9","3 out of 10","0.97849","5 out of 10","0 out of 9","5 out of 10","8"
"450484","WOODLAND HEIGHTS MEDICAL CENTER","505 SOUTH JOHN REDDITT DRIVE","Lufkin","TX","75904","ANGELINA","0.99057","6 out of 10","0 out of 9","6 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","16"
"180040","JEWISH HOSPITAL & ST MARY'S HEALTHCARE","200 ABRAHAM FLEXNER WAY","Louisville","KY","40202","JEFFERSON","0.97500","0 out of 10","0 out of 9","0 out of 10","0.94167","0 out of 10","0 out of 9","0 out of 10","0"
"450162","GRACE MEDICAL CENTER","2412 50TH ST","Lubbock","TX","79412","LUBBOCK","1.00000","10 out of 10","9 out of 9","10 out of 10","0.80000","0 out of 10","0 out of 9","0 out of 10","10"
"300020","SOUTHERN NH MEDICAL CENTER","8 PROSPECT STREET","Nashua","NH","03060","HILLSBOROUGH","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"330106","NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DRIVE","Manhasset","NY","11030","NASSAU","0.98814","5 out of 10","0 out of 9","5 out of 10","0.93571","0 out of 10","0 out of 9","0 out of 10","5"
"440065","NORTHCREST MEDICAL CENTER","100 NORTHCREST DRIVE","Springfield","TN","37172","ROBERTSON","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97273","3 out of 10","0 out of 9","3 out of 10","13"
"450678","DOCTORS HOSPITAL","9440 POPPY DR","Dallas","TX","75218","DALLAS","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98230","6 out of 10","0 out of 9","6 out of 10","16"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","Winfield","AL","35594","MARION","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98684","7 out of 10","0 out of 9","7 out of 10","17"
"240004","HENNEPIN COUNTY MEDICAL CENTER","701 PARK AVENUE","Minneapolis","MN","55415","HENNEPIN","0.98214","2 out of 10","7 out of 9","7 out of 10","0.97674","4 out of 10","3 out of 9","4 out of 10","11"
"110008","NORTHSIDE HOSPITAL CHEROKEE","201 HOSPITAL ROAD","Canton","GA","30114","CHEROKEE","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99187","8 out of 10","1 out of 9","8 out of 10","18"
"110129","ST FRANCIS HOSPITAL, INC","2122 MANCHESTER EXPRESSWAY","Columbus","GA","31995","MUSCOGEE","0.97654","0 out of 10","5 out of 9","5 out of 10","0.94421","0 out of 10","0 out of 9","0 out of 10","5"
"040014","WHITE COUNTY MEDICAL CENTER","3214 EAST RACE AVENUE","Searcy","AR","72143","WHITE","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"050289","SETON MEDICAL CENTER","1900 SULLIVAN AVENUE","Daly City","CA","94015","SAN MATEO","0.98907","5 out of 10","0 out of 9","5 out of 10","0.99083","7 out of 10","8 out of 9","8 out of 10","13"
"200033","EASTERN MAINE MEDICAL CENTER","PO BOX 404","Bangor","ME","04401","PENOBSCOT","0.98387","3 out of 10","6 out of 9","6 out of 10","0.99160","8 out of 10","8 out of 9","8 out of 10","14"
