Hospital_Name,Provider ID,State,Fiscal Year,Domain_1_Score,AHRQ_PSI_90_Score,Domain_1_Start_Date,Domain_1_End_Date,Domain_2_Score,CLABSI_Score,CAUTI_Score,Domain_2_Start_Date,Domain_2_End_Date,Total_HAC_Score,Footnotes
"THE HEART HOSPITAL BAYLOR PLANO","670025","TX","2015","10.0000","10","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","10.0000",""
"EMORY JOHNS CREEK HOSPITAL","110230","GA","2015","2.0000","2","07/01/2011","06/30/2013","7.5000","5","10","01/01/2012","12/31/2013","5.5750",""
"SURGICAL INSTITUTE OF READING","390316","PA","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"FRANCISCAN HEALTHCARE - MUNSTER","150165","IN","2015","9.0000","9","07/01/2011","06/30/2013","10.0000","10","N/A","01/01/2012","12/31/2013","9.6500",""
"LOVELACE REGIONAL HOSPITAL - ROSWELL","320086","NM","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"SAINT FRANCIS MEDICAL CENTER","260183","MO","2015","8.0000","8","07/01/2011","06/30/2013","7.5000","7","8","01/01/2012","12/31/2013","7.6750",""
"WINSTON MEDICAL CENTER & SWINGBED","250027","MS","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"COLQUITT REGIONAL MEDICAL CENTER","110105","GA","2015","6.0000","6","07/01/2011","06/30/2013","5.5000","9","2","01/01/2012","12/31/2013","5.6750",""
"CAPE REGIONAL MEDICAL CENTER INC","310011","NJ","2015","6.0000","6","07/01/2011","06/30/2013","2.5000","4","1","01/01/2012","12/31/2013","3.7250",""
"SOUTHSIDE REGIONAL MEDICAL CENTER","490067","VA","2015","3.0000","3","07/01/2011","06/30/2013","4.0000","6","2","01/01/2012","12/31/2013","3.6500",""
"ENNIS REGIONAL MEDICAL CENTER","450833","TX","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"HEREFORD REGIONAL MEDICAL CENTER","450155","TX","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"NEVADA REGIONAL MEDICAL CENTER","260061","MO","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"UNION HOSPITAL","360010","OH","2015","1.0000","1","07/01/2011","06/30/2013","5.5000","1","10","01/01/2012","12/31/2013","3.9250",""
"ST VINCENT CHARITY MEDICAL CENTER","360037","OH","2015","5.0000","5","07/01/2011","06/30/2013","9.0000","8","10","01/01/2012","12/31/2013","7.6000",""
"FITZGIBBON HOSPITAL","260142","MO","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"UNIVERSITY OF MISSISSIPPI MED CENTER","250001","MS","2015","10.0000","10","07/01/2011","06/30/2013","7.0000","7","7","01/01/2012","12/31/2013","8.0500",""
"MEDICAL CENTER OF CENTRAL GEORGIA","110107","GA","2015","5.0000","5","07/01/2011","06/30/2013","6.5000","6","7","01/01/2012","12/31/2013","5.9750",""
"INOVA FAIR OAKS HOSPITAL","490101","VA","2015","1.0000","1","07/01/2011","06/30/2013","6.5000","5","8","01/01/2012","12/31/2013","4.5750",""
"ALLIANCE COMMUNITY HOSPITAL","360131","OH","2015","3.0000","3","07/01/2011","06/30/2013","8.5000","9","8","01/01/2012","12/31/2013","6.5750",""
"CLEVELAND CLINIC","360180","OH","2015","10.0000","10","07/01/2011","06/30/2013","7.5000","8","7","01/01/2012","12/31/2013","8.3750",""
"SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER","490097","VA","2015","5.0000","5","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.4000",""
"WEBSTER GENERAL HOSPITAL/SWING BED","250020","MS","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER","450610","TX","2015","1.0000","1","07/01/2011","06/30/2013","4.5000","5","4","01/01/2012","12/31/2013","3.2750",""
"DODGE COUNTY HOSPITAL","110092","GA","2015","3.0000","3","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","1.7000",""
"BELLEVUE HOSPITAL","360107","OH","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"BERGEN REGIONAL MEDICAL CENTER","310058","NJ","2015","5.0000","5","07/01/2011","06/30/2013","8.5000","10","7","01/01/2012","12/31/2013","7.2750",""
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","2015","9.0000","9","07/01/2011","06/30/2013","4.5000","1","8","01/01/2012","12/31/2013","6.0750",""
"OHIO STATE UNIVERSITY HOSPITALS","360085","OH","2015","9.0000","9","07/01/2011","06/30/2013","6.5000","4","9","01/01/2012","12/31/2013","7.3750",""
"MERCY HEALTH - WEST HOSPITAL","360234","OH","2015","2.0000","2","07/01/2011","06/30/2013","9.0000","10","8","01/01/2012","12/31/2013","6.5500",""
"JEFFERSON HOSPITAL","110100","GA","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"WALLACE THOMSON HOSPITAL","420039","SC","2015","6.0000","6","07/01/2011","06/30/2013","2.0000","1","3","01/01/2012","12/31/2013","3.4000",""
"BAXTER REGIONAL MEDICAL CENTER","040027","AR","2015","1.0000","1","07/01/2011","06/30/2013","4.5000","1","8","01/01/2012","12/31/2013","3.2750",""
"EAST COOPER MEDICAL CENTER","420089","SC","2015","4.0000","4","07/01/2011","06/30/2013","6.5000","8","5","01/01/2012","12/31/2013","5.6250",""
"BAPTIST EASLEY HOSPITAL","420015","SC","2015","10.0000","10","07/01/2011","06/30/2013","6.0000","6","6","01/01/2012","12/31/2013","7.4000",""
"PINNACLE HOSPITAL","150166","IN","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"SSM DEPAUL HEALTH CENTER","260104","MO","2015","8.0000","8","07/01/2011","06/30/2013","5.5000","6","5","01/01/2012","12/31/2013","6.3750",""
"CLARK REGIONAL MEDICAL CENTER","180092","KY","2015","5.0000","5","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.4000",""
"ODESSA REGIONAL HOSPITAL","450661","TX","2015","9.0000","9","07/01/2011","06/30/2013","7.0000","5","9","01/01/2012","12/31/2013","7.7000",""
"ROSE MEDICAL CENTER","060032","CO","2015","10.0000","10","07/01/2011","06/30/2013","6.0000","2","10","01/01/2012","12/31/2013","7.4000",""
"SKY RIDGE MEDICAL CENTER","060112","CO","2015","9.0000","9","07/01/2011","06/30/2013","4.5000","3","6","01/01/2012","12/31/2013","6.0750",""
"VALLEY VIEW HOSPITAL ASSOCIATION","060075","CO","2015","5.0000","5","07/01/2011","06/30/2013","9.0000","N/A","9","01/01/2012","12/31/2013","7.6000",""
"CLAY COUNTY HOSPITAL","010073","AL","2015","5.0000","5","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.4000",""
"ANDERSON HOSPITAL","140289","IL","2015","9.0000","9","07/01/2011","06/30/2013","7.0000","10","4","01/01/2012","12/31/2013","7.7000",""
"CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL","140176","IL","2015","5.0000","5","07/01/2011","06/30/2013","8.0000","8","8","01/01/2012","12/31/2013","6.9500",""
"MEMORIAL HOSPITAL OF CARBONDALE","140164","IL","2015","9.0000","9","07/01/2011","06/30/2013","4.0000","5","3","01/01/2012","12/31/2013","5.7500",""
"NORTHWESTERN MEMORIAL HOSPITAL","140281","IL","2015","10.0000","10","07/01/2011","06/30/2013","8.5000","9","8","01/01/2012","12/31/2013","9.0250",""
"ST BERNARD HOSPITAL","140103","IL","2015","6.0000","6","07/01/2011","06/30/2013","5.0000","6","4","01/01/2012","12/31/2013","5.3500",""
"HALE COUNTY HOSPITAL","010095","AL","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","010114","AL","2015","10.0000","10","07/01/2011","06/30/2013","2.5000","2","3","01/01/2012","12/31/2013","5.1250",""
"NORTHWEST SURGICAL HOSPITAL","370192","OK","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"LAKESIDE WOMEN'S HOSPITAL, A MEMBER OF INTEGRIS HE","370199","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"SURGICAL HOSPITAL OF OKLAHOMA","370201","OK","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"MERCY HOSPITAL OF DEFIANCE","360270","OH","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"ST CLOUD REGIONAL MEDICAL CENTER","100302","FL","2015","9.0000","9","07/01/2011","06/30/2013","6.0000","10","2","01/01/2012","12/31/2013","7.0500",""
"HOUSTON PHYSICIANS' HOSPITAL","670008","TX","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"MAYHILL HOSPITAL","670010","TX","2015","N/A","N/A","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","N/A",""
"VALLEY VIEW MEDICAL CENTER","030117","AZ","2015","2.0000","2","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.3500",""
"HOUSTON ORTHOPEDIC AND SPINE HOSPITAL","670012","TX","2015","1.0000","1","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","1.0000",""
"ST JOSEPH MERCY CHELSEA","230259","MI","2015","1.0000","1","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","1.0000",""
"KARMANOS CANCER CENTER","230297","MI","2015","9.0000","9","07/01/2011","06/30/2013","3.5000","6","1","01/01/2012","12/31/2013","5.4250",""
"SAINT CATHERINE REGIONAL HOSPITAL","150163","IN","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS","150162","IN","2015","2.0000","2","07/01/2011","06/30/2013","5.0000","3","7","01/01/2012","12/31/2013","3.9500",""
"TWIN COUNTY REGIONAL HOSPITAL","490115","VA","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","240075","MN","2015","8.0000","8","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","8.0000",""
"CATAWBA HOSPITAL","490135","VA","2015","7.0000","7","07/01/2011","06/30/2013","10.0000","10","10","01/01/2012","12/31/2013","8.9500",""
"UNITED HOSPITAL","240038","MN","2015","2.0000","2","07/01/2011","06/30/2013","9.5000","9","10","01/01/2012","12/31/2013","6.8750",""
"YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS","030118","AZ","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"SHERMAN OAKS HOSPITAL","050755","CA","2015","1.0000","1","07/01/2011","06/30/2013","8.0000","10","6","01/01/2012","12/31/2013","5.5500",""
"CASTLE MEDICAL CENTER","120006","HI","2015","9.0000","9","07/01/2011","06/30/2013","2.0000","3","1","01/01/2012","12/31/2013","4.4500",""
"UPPER VALLEY MEDICAL CENTER","360174","OH","2015","2.0000","2","07/01/2011","06/30/2013","7.5000","7","8","01/01/2012","12/31/2013","5.5750",""
"SUMMIT MEDICAL CENTER","370225","OK","2015","10.0000","10","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","10.0000",""
"THE QUEENS MEDICAL CENTER","120001","HI","2015","3.0000","3","07/01/2011","06/30/2013","4.0000","3","5","01/01/2012","12/31/2013","3.6500",""
"JACK HUGHSTON MEMORIAL HOSPITAL","010168","AL","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"OCHSNER MEDICAL CENTER-KENNER LLC","190274","LA","2015","2.0000","2","07/01/2011","06/30/2013","2.5000","2","3","01/01/2012","12/31/2013","2.3250",""
"GILBERT HOSPITAL","030120","AZ","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"NEW YORK-PRESBYTERIAN HOSPITAL","330101","NY","2015","5.0000","5","07/01/2011","06/30/2013","8.0000","7","9","01/01/2012","12/31/2013","6.9500",""
"KANSAS MEDICAL CENTER LLC","170197","KS","2015","2.0000","2","07/01/2011","06/30/2013","4.0000","1","7","01/01/2012","12/31/2013","3.3000",""
"MISSISSIPPI BAPTIST MEDICAL CENTER","250102","MS","2015","2.0000","2","07/01/2011","06/30/2013","9.0000","8","10","01/01/2012","12/31/2013","6.5500",""
"HANCOCK MEDICAL CENTER","250162","MS","2015","2.0000","2","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","1.3500",""
"COORDINATED HEALTH ORTHOPEDIC HOSPITAL","390314","PA","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
"HILLCREST MEDICAL CENTER","370001","OK","2015","7.0000","7","07/01/2011","06/30/2013","3.0000","3","3","01/01/2012","12/31/2013","4.4000",""
"WOODWARD REGIONAL HOSPITAL","370002","OK","2015","9.0000","9","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","3.8000",""
"INTEGRIS BAPTIST REGIONAL HEALTH CENTER","370004","OK","2015","4.0000","4","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.0500",""
"PONCA CITY MEDICAL CENTER","370006","OK","2015","5.0000","5","07/01/2011","06/30/2013","3.0000","N/A","3","01/01/2012","12/31/2013","3.7000",""
"NEWMAN MEMORIAL HOSPITAL","370007","OK","2015","8.0000","8","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","8.0000",""
"NORMAN REGIONAL HEALTH SYSTEM","370008","OK","2015","3.0000","3","07/01/2011","06/30/2013","8.5000","7","10","01/01/2012","12/31/2013","6.5750",""
"MERCY HOSPITAL OKLAHOMA CITY, INC","370013","OK","2015","4.0000","4","07/01/2011","06/30/2013","7.0000","5","9","01/01/2012","12/31/2013","5.9500",""
"MEDICAL CENTER OF SOUTHEASTERN OKLAHOMA","370014","OK","2015","1.0000","1","07/01/2011","06/30/2013","3.5000","6","1","01/01/2012","12/31/2013","2.6250",""
"INTEGRIS BASS BAPTIST HEALTH CENTER","370016","OK","2015","7.0000","7","07/01/2011","06/30/2013","3.5000","1","6","01/01/2012","12/31/2013","4.7250",""
"JANE PHILLIPS MEDICAL CENTER","370018","OK","2015","1.0000","1","07/01/2011","06/30/2013","2.5000","1","4","01/01/2012","12/31/2013","1.9750",""
"GREAT PLAINS REGIONAL MEDICAL CENTER","370019","OK","2015","5.0000","5","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.4000",""
"JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY","370022","OK","2015","8.0000","8","07/01/2011","06/30/2013","3.0000","1","5","01/01/2012","12/31/2013","4.7500",""
"DUNCAN REGIONAL HOSPITAL, INC","370023","OK","2015","4.0000","4","07/01/2011","06/30/2013","3.5000","6","1","01/01/2012","12/31/2013","3.6750",""
"EASTAR HEALTH SYSTEM","370025","OK","2015","2.0000","2","07/01/2011","06/30/2013","2.5000","1","4","01/01/2012","12/31/2013","2.3250",""
"ST MARY'S REGIONAL MEDICAL CENTER","370026","OK","2015","1.0000","1","07/01/2011","06/30/2013","2.0000","1","3","01/01/2012","12/31/2013","1.6500",""
"INTEGRIS BAPTIST MEDICAL CENTER","370028","OK","2015","1.0000","1","07/01/2011","06/30/2013","3.0000","3","3","01/01/2012","12/31/2013","2.3000",""
"INTEGRIS CLINTON REGIONAL HOSPITAL","370029","OK","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"INTEGRIS BLACKWELL REGIONAL HOSPITAL","370030","OK","2015","9.0000","9","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","9.0000",""
"DEACONESS HOSPITAL","370032","OK","2015","1.0000","1","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","1.0000",""
"MCALESTER REGIONAL HEALTH CENTER","370034","OK","2015","4.0000","4","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","2.0500",""
"HARMON MEMORIAL HOSPITAL","370036","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"ST ANTHONY HOSPITAL","370037","OK","2015","7.0000","7","07/01/2011","06/30/2013","7.5000","7","8","01/01/2012","12/31/2013","7.3250",""
"HILLCREST HOSPITAL CLAREMORE","370039","OK","2015","2.0000","2","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","1.3500",""
"EASTERN OKLAHOMA MEDICAL CENTER","370040","OK","2015","8.0000","8","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","8.0000",""
"BRISTOW MEDICAL CENTER","370041","OK","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
"MERCY HOSPITAL ARDMORE, INC","370047","OK","2015","9.0000","9","07/01/2011","06/30/2013","4.0000","5","3","01/01/2012","12/31/2013","5.7500",""
"MCCURTAIN MEMORIAL HOSPITAL","370048","OK","2015","5.0000","5","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","2.4000",""
"STILLWATER MEDICAL CENTER","370049","OK","2015","4.0000","4","07/01/2011","06/30/2013","5.5000","1","10","01/01/2012","12/31/2013","4.9750",""
"MEMORIAL HOSPITAL & PHYSICIAN GROUP","370051","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"GRADY MEMORIAL HOSPITAL","370054","OK","2015","9.0000","9","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","3.8000",""
"COMANCHE COUNTY MEMORIAL HOSPITAL","370056","OK","2015","1.0000","1","07/01/2011","06/30/2013","4.0000","4","4","01/01/2012","12/31/2013","2.9500",""
"CRAIG GENERAL HOSPITAL","370065","OK","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
"LATIMER COUNTY GENERAL HOSPITAL","370072","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"OKLAHOMA STATE UNIVERSITY MEDICAL CENTER","370078","OK","2015","5.0000","5","07/01/2011","06/30/2013","6.0000","8","4","01/01/2012","12/31/2013","5.6500",""
"SHARE MEDICAL CENTER","370080","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"PUSHMATAHA CTY-TN OF ANTLERS HOSP AUTH","370083","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"NORTHEASTERN HEALTH SYSTEM","370089","OK","2015","2.0000","2","07/01/2011","06/30/2013","3.5000","4","3","01/01/2012","12/31/2013","2.9750",""
"SAINT FRANCIS HOSPITAL, INC","370091","OK","2015","9.0000","9","07/01/2011","06/30/2013","5.0000","7","3","01/01/2012","12/31/2013","6.4000",""
"O U MEDICAL CENTER","370093","OK","2015","10.0000","10","07/01/2011","06/30/2013","6.0000","6","6","01/01/2012","12/31/2013","7.4000",""
"MIDWEST REGIONAL MEDICAL CENTER","370094","OK","2015","4.0000","4","07/01/2011","06/30/2013","5.5000","8","3","01/01/2012","12/31/2013","4.9750",""
"SOUTHWESTERN MEDICAL CENTER","370097","OK","2015","9.0000","9","07/01/2011","06/30/2013","6.5000","10","3","01/01/2012","12/31/2013","7.3750",""
"HILLCREST HOSPITAL CUSHING","370099","OK","2015","8.0000","8","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","8.0000",""
"CHOCTAW MEMORIAL HOSPITAL","370100","OK","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"SAYRE MEMORIAL HOSPITAL, INC","370103","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"INTEGRIS SOUTHWEST MEDICAL CENTER","370106","OK","2015","1.0000","1","07/01/2011","06/30/2013","3.5000","2","5","01/01/2012","12/31/2013","2.6250",""
"SEQUOYAH COUNTY CITY OF SALLISAW HOSPITAL AUTHORIT","370112","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"INTEGRIS GROVE HOSPITAL","370113","OK","2015","3.0000","3","07/01/2011","06/30/2013","1.0000","N/A","1","01/01/2012","12/31/2013","1.7000",""
"ST JOHN MEDICAL CENTER, INC","370114","OK","2015","5.0000","5","07/01/2011","06/30/2013","7.0000","6","8","01/01/2012","12/31/2013","6.3000",""
"MEMORIAL HOSPITAL OF TEXAS COUNTY","370138","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"PERRY MEMORIAL HOSPITAL","370139","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"ST ANTHONY SHAWNEE HOSPITAL","370149","OK","2015","9.0000","9","07/01/2011","06/30/2013","2.5000","1","4","01/01/2012","12/31/2013","4.7750",""
"ELKVIEW GENERAL HOSPITAL","370153","OK","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"PAULS VALLEY GENERAL HOSPITAL","370156","OK","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
"PURCELL MUNICIPAL HOSPITAL","370158","OK","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"WAGONER COMMUNITY HOSPITAL","370166","OK","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"EPIC MEDICAL CENTER","370169","OK","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
"USPHS LAWTON INDIAN HOSPITAL","370170","OK","2015","7.0000","7","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","7.0000",""
"W W HASTINGS INDIAN HOSPITAL","370171","OK","2015","9.0000","9","07/01/2011","06/30/2013","8.0000","10","6","01/01/2012","12/31/2013","8.3500",""
"CHOCTAW NATION HEALTH SERVICES AUTHORITY","370172","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"CLAREMORE INDIAN HOSPITAL","370173","OK","2015","6.0000","6","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","6.0000",""
"MEMORIAL HOSPITAL OF STILWELL","370178","OK","2015","4.0000","4","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","4.0000",""
"HILLCREST HOSPITAL SOUTH","370202","OK","2015","10.0000","10","07/01/2011","06/30/2013","9.0000","10","8","01/01/2012","12/31/2013","9.3500",""
"COMMUNITY HOSPITAL, LLC","370203","OK","2015","5.0000","5","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","5.0000",""
"OKLAHOMA SPINE HOSPITAL","370206","OK","2015","3.0000","3","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","3.0000",""
"MID-COLUMBIA MEDICAL CENTER","380001","OR","2015","8.0000","8","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","8.0000",""
"ASANTE THREE RIVERS MEDICAL CENTER","380002","OR","2015","2.0000","2","07/01/2011","06/30/2013","5.0000","6","4","01/01/2012","12/31/2013","3.9500",""
"PROVIDENCE ST VINCENT MEDICAL CENTER","380004","OR","2015","8.0000","8","07/01/2011","06/30/2013","8.0000","7","9","01/01/2012","12/31/2013","8.0000",""
"ASANTE ASHLAND COMMUNITY HOSPITAL","380005","OR","2015","9.0000","9","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","9.0000",""
"LEGACY EMANUEL MEDICAL CENTER","380007","OR","2015","10.0000","10","07/01/2011","06/30/2013","6.0000","4","8","01/01/2012","12/31/2013","7.4000",""
"OHSU HOSPITAL AND CLINICS","380009","OR","2015","10.0000","10","07/01/2011","06/30/2013","5.0000","3","7","01/01/2012","12/31/2013","6.7500",""
"GOOD SAMARITAN REGIONAL MEDICAL CENTER","380014","OR","2015","3.0000","3","07/01/2011","06/30/2013","8.5000","8","9","01/01/2012","12/31/2013","6.5750",""
"LEGACY GOOD SAMARITAN MEDICAL CENTER","380017","OR","2015","10.0000","10","07/01/2011","06/30/2013","7.0000","4","10","01/01/2012","12/31/2013","8.0500",""
"ASANTE ROGUE REGIONAL MEDICAL CENTER","380018","OR","2015","1.0000","1","07/01/2011","06/30/2013","4.5000","2","7","01/01/2012","12/31/2013","3.2750",""
"MCKENZIE-WILLAMETTE MEDICAL CENTER","380020","OR","2015","8.0000","8","07/01/2011","06/30/2013","6.0000","7","5","01/01/2012","12/31/2013","6.7000",""
"TUALITY COMMUNITY HOSPITAL","380021","OR","2015","10.0000","10","07/01/2011","06/30/2013","4.0000","1","7","01/01/2012","12/31/2013","6.1000",""
"SAMARITAN ALBANY GENERAL HOSPITAL","380022","OR","2015","9.0000","9","07/01/2011","06/30/2013","5.0000","6","4","01/01/2012","12/31/2013","6.4000",""
"LEGACY MOUNT HOOD MEDICAL CENTER","380025","OR","2015","8.0000","8","07/01/2011","06/30/2013","9.5000","10","9","01/01/2012","12/31/2013","8.9750",""
"MERCY MEDICAL CENTER","380027","OR","2015","2.0000","2","07/01/2011","06/30/2013","3.5000","3","4","01/01/2012","12/31/2013","2.9750",""
"SILVERTON HOSPITAL","380029","OR","2015","9.0000","9","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","9.0000",""
"TRINITY HOSPITAL OF AUGUSTA","110039","GA","2015","5.0000","5","07/01/2011","06/30/2013","7.0000","9","5","01/01/2012","12/31/2013","6.3000",""
"PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO","050078","CA","2015","7.0000","7","07/01/2011","06/30/2013","6.5000","6","7","01/01/2012","12/31/2013","6.6750",""
"SAN MATEO MEDICAL CENTER","050113","CA","2015","4.0000","4","07/01/2011","06/30/2013","1.0000","1","1","01/01/2012","12/31/2013","2.0500",""
"ST BERNARDINE MEDICAL CENTER","050129","CA","2015","2.0000","2","07/01/2011","06/30/2013","7.0000","7","7","01/01/2012","12/31/2013","5.2500",""
