Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,AMI-7a Performance Rate,AMI-7a Achievement Points,AMI-7a Improvement Points,AMI-7a Measure Score,AMI-8a Performance Rate,AMI-8a Achievement Points,AMI-8a Improvement Points,AMI-8a Measure Score,AMI Condition/Procedure Score
"150022","FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","1710 LAFAYETTE RD","Crawfordsville","IN","47933","MONTGOMERY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"290053","ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS","8280 W WARM SPRINGS ROAD","Las Vegas","NV","89113","CLARK","Not Available","Not Available","Not Available","Not Available","0.89474","0 out of 10","Not Available","0 out of 10","0"
"450107","LAS PALMAS MEDICAL CENTER","1801 NORTH OREGON STREET","El Paso","TX","79902","EL PASO","Not Available","Not Available","Not Available","Not Available","0.95745","1 out of 10","0 out of 9","1 out of 10","1"
"100028","PARRISH MEDICAL CENTER","951 N WASHINGTON AVE","Titusville","FL","32796","BREVARD","Not Available","Not Available","Not Available","Not Available","0.97059","4 out of 10","0 out of 9","4 out of 10","4"
"510001","WEST VIRGINIA UNIVERSITY HOSPITALS","MEDICAL CENTER DRIVE","Morgantown","WV","26506","MONONGALIA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"380040","ST CHARLES MEDICAL CENTER - REDMOND","1253 N CANAL BLVD","Bend","OR","97701","DESCHUTES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100191","MEDICAL CENTER OF TRINITY","9332 SR 54, STE 401","Trinity","FL","34655","PASCO","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"100246","LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","1700 S 23RD ST","Fort Pierce","FL","34950","ST. LUCIE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"450064","TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL","800 W RANDOL MILL RD","Arlington","TX","76012","TARRANT","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390058","CARLISLE REGIONAL MEDICAL CENTER","361 ALEXANDER SPRING ROAD","Carlisle","PA","170159129","CUMBERLAND","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"280133","NEBRASKA SPINE HOSPITAL, LLC","P O BOX 34400, 6901 NORTH 72ND ST, STE 20300","Omaha","NE","68122","DOUGLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"260068","BOONE HOSPITAL CENTER","1600 E BROADWAY","Columbia","MO","65201-5844","BOONE","Not Available","Not Available","Not Available","Not Available","0.97436","5 out of 10","0 out of 9","5 out of 10","5"
"050189","GEORGE L MEE MEMORIAL HOSPITAL","300 CANAL STREET","King City","CA","93930","MONTEREY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"420086","PALMETTO HEALTH BAPTIST","TAYLOR AT MARION ST","Columbia","SC","29220","RICHLAND","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"350002","ST ALEXIUS MEDICAL CENTER","900 E BROADWAY","Bismarck","ND","58501","BURLEIGH","Not Available","Not Available","Not Available","Not Available","0.89286","0 out of 10","0 out of 9","0 out of 10","0"
"390080","JEANES HOSPITAL","7600 CENTRAL AVENUE","Philadelphia","PA","19111","PHILADELPHIA","Not Available","Not Available","Not Available","Not Available","0.94444","0 out of 10","7 out of 9","7 out of 10","7"
"060013","MERCY REGIONAL MEDICAL CENTER","1010 THREE SPRINGS BLVD","Durango","CO","81301","LA PLATA","Not Available","Not Available","Not Available","Not Available","0.80952","0 out of 10","0 out of 9","0 out of 10","0"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","Montgomery","AL","36106","MONTGOMERY","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"100220","GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","13681 DOCTOR'S WAY","Fort Myers","FL","33912","LEE","Not Available","Not Available","Not Available","Not Available","0.86667","0 out of 10","5 out of 9","5 out of 10","5"
"190125","ST FRANCIS MEDICAL CENTER","309 JACKSON STREET","Monroe","LA","71201","OUACHITA","Not Available","Not Available","Not Available","Not Available","0.88462","0 out of 10","0 out of 9","0 out of 10","0"
"500011","HIGHLINE MEDICAL CENTER","16251 SYLVESTER ROAD SW","Burien","WA","98166","KING","Not Available","Not Available","Not Available","Not Available","0.96667","3 out of 10","8 out of 9","8 out of 10","8"
"010144","SPRINGHILL MEMORIAL HOSPITAL","3719 DAUPHIN STREET","Mobile","AL","36608","MOBILE","Not Available","Not Available","Not Available","Not Available","0.97778","5 out of 10","0 out of 9","5 out of 10","5"
"030132","FLORENCE HOSPITAL AT ANTHEM, LLC","4545 NORTH HUNT HIGHWAY","Florence","AZ","85132","PINAL","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"370234","OKLAHOMA HEART HOSPITAL SOUTH","5200 EAST I-240 SERVICE ROAD","Oklahoma City","OK","73135","OKLAHOMA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"050235","PROVIDENCE SAINT JOSEPH MEDICAL CTR","501 SOUTH BUENA VISTA","Burbank","CA","91505","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360144","SOUTH POINTE HOSPITAL","20000 HARVARD ROAD","Warrensville Heights","OH","44122","CUYAHOGA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390065","GETTYSBURG HOSPITAL","147 GETTYS STREET","Gettysburg","PA","17325","ADAMS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"180093","BAPTIST HEALTH MADISONVILLE","900 HOSPITAL DRIVE","Madisonville","KY","42431","HOPKINS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"110150","OCONEE REGIONAL MEDICAL CENTER","821 N COBB STREET  POST OFFICE BOX 690","Milledgeville","GA","31061","BALDWIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","Anchorage","AK","99508","ANCHORAGE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"230216","PORT HURON HOSPITAL","1221 PINE GROVE AVE","Port Huron","MI","48061","SAINT CLAIR","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"450079","BAYLOR MEDICAL CENTER AT IRVING","1901 N MACARTHUR BLVD","Irving","TX","75061","DALLAS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"030111","BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","2800 EAST AJO WAY, STE 300","Tucson","AZ","85713","PIMA","Not Available","Not Available","Not Available","Not Available","0.88462","0 out of 10","0 out of 9","0 out of 10","0"
"440039","VANDERBILT UNIVERSITY HOSPITAL","1161 21ST AVENUE SOUTH","Nashville","TN","37232","DAVIDSON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"050102","PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER","3865 JACKSON STREET","Riverside","CA","92503","RIVERSIDE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450021","BAYLOR UNIVERSITY MEDICAL CENTER","3500 GASTON AVE","Dallas","TX","75246","DALLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360150","SUMMA WESTERN RESERVE HOSPITAL","1900 23RD STREET","Cuyahoga Falls","OH","44223","SUMMIT","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"430027","SANFORD USD MEDICAL CENTER","1305 W 18TH ST  POST OFFICE BOX 5039","Sioux Falls","SD","571175039","MINNEHAHA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"050561","KAISER FOUNDATION HOSPITAL - WEST LA","6041 CADILLAC AVE","Los Angeles","CA","90034","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"060064","CENTURA HEALTH-PORTER ADVENTIST HOSPITAL","2525 S DOWNING ST","Denver","CO","80210","DENVER","Not Available","Not Available","Not Available","Not Available","0.94118","0 out of 10","5 out of 9","5 out of 10","5"
"440176","INDIAN PATH MEDICAL CENTER","2000 BROOKSIDE DR","Kingsport","TN","37660","SULLIVAN","Not Available","Not Available","Not Available","Not Available","0.90000","0 out of 10","Not Available","0 out of 10","0"
"390180","CROZER CHESTER MEDICAL CENTER","ONE MEDICAL CENTER BOULEVARD","Upland","PA","19013","DELAWARE","Not Available","Not Available","Not Available","Not Available","0.97917","5 out of 10","0 out of 9","5 out of 10","5"
"500003","SKAGIT VALLEY HOSPITAL","1415 KINCAID STREET","Mount Vernon","WA","98274","SKAGIT","Not Available","Not Available","Not Available","Not Available","0.97436","5 out of 10","0 out of 9","5 out of 10","5"
"050009","QUEEN OF THE VALLEY MEDICAL CENTER","1000 TRANCAS ST","Napa","CA","94558","NAPA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"050075","KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND","275 W MACARTHUR BOULEVARD","Oakland","CA","94611","ALAMEDA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","Albuquerque","NM","87106","BERNALILLO","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"510077","WILLIAMSON MEMORIAL HOSPITAL","859 ALDERSON STREET","Williamson","WV","25661","MINGO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"260191","BARNES-JEWISH ST PETERS HOSPITAL","10 HOSPITAL DR","Saint Peters","MO","63376-1659","ST. CHARLES","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"260062","SAINT LUKES NORTHLAND HOSPITAL","5830 N W BARRY ROAD","Kansas City","MO","64154","PLATTE","Not Available","Not Available","Not Available","Not Available","0.97059","4 out of 10","4 out of 9","4 out of 10","4"
"440081","LECONTE MEDICAL CENTER","742 MIDDLECREEK ROAD","Sevierville","TN","37862","CUMBERLAND","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"070031","GRIFFIN HOSPITAL","130 DIVISION ST","Derby","CT","06418","NEW HAVEN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360084","AULTMAN HOSPITAL","2600 SIXTH STREET SW","Canton","OH","44710","STARK","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"260077","ST ANTHONY'S MEDICAL CENTER","10010 KENNERLY ROAD","Saint Louis","MO","63128-2106","ST. LOUIS","Not Available","Not Available","Not Available","Not Available","0.97403","4 out of 10","2 out of 9","4 out of 10","4"
"150168","THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR","7952 W JEFFERSON BLVD","Ft Wayne","IN","46804","ALLEN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050755","SHERMAN OAKS HOSPITAL","4929 VAN NUYS BLVD","Sherman Oaks","CA","91403","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050766","SUTTER SURGICAL HOSPITAL - NORTH VALLEY","455 PLUMAS BLVD","Yuba City","CA","95991","SUTTER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330250","CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR","75 BEEKMAN STREET","Plattsburgh","NY","12901","CLINTON","Not Available","Not Available","Not Available","Not Available","0.90909","0 out of 10","0 out of 9","0 out of 10","0"
"140133","HOLY CROSS HOSPITAL","2701 W 68TH STREET","Chicago","IL","60629","COOK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"410011","LANDMARK MEDICAL CENTER,  INC","115 CASS AVE","Woonsocket","RI","02895","PROVIDENCE","Not Available","Not Available","Not Available","Not Available","0.97222","4 out of 10","0 out of 9","4 out of 10","4"
"270004","BILLINGS CLINIC HOSPITAL","2800 10TH AVE N","Billings","MT","59101-0703","YELLOWSTONE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"380051","SALEM HOSPITAL","890 OAK STREET, SE","Salem","OR","97301","MARION","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"190026","RAPIDES REGIONAL MEDICAL CENTER","211 4TH STREET","Alexandria","LA","71301","RAPIDES","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"370016","INTEGRIS BASS BAPTIST HEALTH CENTER","600 SOUTH MONROE","Enid","OK","73701","GARFIELD","Not Available","Not Available","Not Available","Not Available","0.90909","0 out of 10","0 out of 9","0 out of 10","0"
"260027","RESEARCH MEDICAL CENTER","2316 E MEYER BLVD","Kansas City","MO","64132","JACKSON","Not Available","Not Available","Not Available","Not Available","0.96429","3 out of 10","0 out of 9","3 out of 10","3"
"160045","ST LUKES HOSPITAL","1026 A AVE NE","Cedar Rapids","IA","52402","LINN","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"170186","KANSAS HEART HOSPITAL","3601 NORTH WEBB ROAD","Wichita","KS","67226","SEDGWICK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050128","TRI-CITY MEDICAL CENTER","4002 VISTA WAY","Oceanside","CA","92056","SAN DIEGO","Not Available","Not Available","Not Available","Not Available","0.96552","3 out of 10","0 out of 9","3 out of 10","3"
"150125","COMMUNITY HOSPITAL","901 MACARTHUR BLVD","Munster","IN","46321","LAKE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"450028","VHS BROWNSVILLE HOSPITAL COMPANY, LLC","1040 W JEFFERSON ST","Brownsville","TX","78520","CAMERON","Not Available","Not Available","Not Available","Not Available","0.95000","0 out of 10","0 out of 9","0 out of 10","0"
"450809","NORTH AUSTIN MEDICAL CENTER","12221 MOPAC EXPRESSWAY NORTH","Austin","TX","78758","TRAVIS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"460041","DAVIS HOSPITAL AND MEDICAL CENTER","1600 WEST ANTELOPE DRIVE","Layton","UT","84041","DAVIS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"450163","CHRISTUS SPOHN HOSPITAL KLEBERG","1311 EAST GENERAL CAVAZOS BLVD","Kingsville","TX","78363","KLEBERG","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110165","SOUTHERN REGIONAL MEDICAL CENTER","11 UPPER RIVERDALE ROAD, SW","Riverdale","GA","30274","CLAYTON","Not Available","Not Available","Not Available","Not Available","0.88679","0 out of 10","0 out of 9","0 out of 10","0"
"050424","SCRIPPS GREEN HOSPITAL","10666 NORTH TORREY PINES ROAD","La Jolla","CA","92037","SAN DIEGO","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","Jacksonville","AR","72078-0159","PULASKI","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050677","KAISER FOUNDATION HOSPITAL - WOODLAND HILLS","5601 DE SOTO","Woodland Hills","CA","91367","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050382","CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","210 W  SAN BERNARDINO ROAD","Covina","CA","91723","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","0.96552","3 out of 10","2 out of 9","3 out of 10","3"
"050336","LODI MEMORIAL HOSPITAL","975 S FAIRMONT AVENUE","Lodi","CA","95240","SAN JOAQUIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050327","LOMA LINDA UNIVERSITY MEDICAL CENTER","11234 ANDERSON ST","Loma Linda","CA","92354","SAN BERNARDINO","Not Available","Not Available","Not Available","Not Available","0.95556","1 out of 10","5 out of 9","5 out of 10","5"
"310086","KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV","18 EAST LAUREL ROAD","Stratford","NJ","08084","CAMDEN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390049","ST LUKE'S HOSPITAL BETHLEHEM","801 OSTRUM STREET","Bethlehem","PA","18015","NORTHAMPTON","Not Available","Not Available","Not Available","Not Available","0.97959","6 out of 10","0 out of 9","6 out of 10","6"
"250025","GILMORE MEMORIAL REGIONAL MEDICAL CENTER","1105 EARL FRYE BLVD","Amory","MS","38821","MONROE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"300005","LAKES REGION GENERAL HOSPITAL","80 HIGHLAND ST","Laconia","NH","03246","BELKNAP","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"240106","REGIONS HOSPITAL","640 JACKSON STREET","Saint Paul","MN","55101","RAMSEY","Not Available","Not Available","Not Available","Not Available","0.98551","7 out of 10","1 out of 9","7 out of 10","7"
"470024","NORTHWESTERN MEDICAL CENTER INC","133 FAIRFIELD STREET","Saint Albans","VT","05478","FRANKLIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520113","BAY AREA MEDICAL CENTER","3100 SHORE DRIVE","Marinette","WI","54143","MARINETTE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"300001","CONCORD HOSPITAL","250 PLEASANT ST","Concord","NH","03301","MERRIMACK","Not Available","Not Available","Not Available","Not Available","0.96923","4 out of 10","1 out of 9","4 out of 10","4"
"370153","ELKVIEW GENERAL HOSPITAL","429 WEST ELM STREET","Hobart","OK","73651","KIOWA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490057","SENTARA VIRGINIA BEACH GENERAL HOSPITAL","1060 FIRST COLONIAL ROAD","Virginia Beach","VA","23454","VIRGINIA BEACH CITY","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"490113","SENTARA NORTHERN VIRGINIA MEDICAL CENTER","2300 OPITZ BOULEVARD","Woodbridge","VA","22191","PRINCE WILLIAM","Not Available","Not Available","Not Available","Not Available","0.95455","1 out of 10","Not Available","1 out of 10","1"
"220086","BETH ISRAEL DEACONESS MEDICAL CENTER","330 BROOKLINE AVENUE","Boston","MA","02215","SUFFOLK","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"050077","SCRIPPS MERCY HOSPITAL","4077 5TH AVE","San Diego","CA","92103","SAN DIEGO","Not Available","Not Available","Not Available","Not Available","0.94030","0 out of 10","0 out of 9","0 out of 10","0"
"190014","TECHE REGIONAL MEDICAL CENTER","1125 MARGUERITE STREET","Morgan City","LA","70380","ST. MARY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"310038","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL","ONE ROBERT WOOD JOHNSON PL","New Brunswick","NJ","08901","MIDDLESEX","Not Available","Not Available","Not Available","Not Available","0.99074","8 out of 10","8 out of 9","8 out of 10","8"
"100110","OSCEOLA REGIONAL MEDICAL CENTER","700 WEST OAK STREET","Kissimmee","FL","34741","OSCEOLA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"150072","MEMORIAL HOSPITAL","1101 MICHIGAN AVE","Logansport","IN","46947","CASS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490063","INOVA FAIRFAX HOSPITAL","8110 GATEHOUSE ROAD, 400 WEST","Falls Church","VA","22042-3300","FAIRFAX","Not Available","Not Available","Not Available","Not Available","0.92727","0 out of 10","1 out of 9","1 out of 10","1"
"060119","MEDICAL CENTER OF THE ROCKIES","2500 ROCKY MOUNTAIN AVENUE","Loveland","CO","80538","LARIMER","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"240044","WINONA HEALTH SERVICES","855 MANKATO AVENUE","Winona","MN","55987","WINONA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360085","OHIO STATE UNIVERSITY HOSPITALS","410 WEST 10TH AVENUE","Columbus","OH","43218","FRANKLIN","Not Available","Not Available","Not Available","Not Available","0.92857","0 out of 10","1 out of 9","1 out of 10","1"
"230301","OAKLAND REGIONAL HOSPITAL","22401 FOSTER WINTER DRIVE","Southfield","MI","48075","OAKLAND","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500077","PROVIDENCE HOLY FAMILY HOSPITAL","5633 NORTH LIDGERWOOD","Spokane","WA","99208","SPOKANE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"230132","HURLEY MEDICAL CENTER","ONE HURLEY PLAZA","Flint","MI","48503","GENESEE","Not Available","Not Available","Not Available","Not Available","0.92857","0 out of 10","5 out of 9","5 out of 10","5"
"050191","ST MARY MEDICAL CENTER","1050 LINDEN AVE","Long Beach","CA","90813","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","0.95455","1 out of 10","1 out of 9","1 out of 10","1"
"420007","SPARTANBURG REGIONAL MEDICAL CENTER","101 E WOOD ST","Spartanburg","SC","29303","SPARTANBURG","Not Available","Not Available","Not Available","Not Available","0.96875","3 out of 10","5 out of 9","5 out of 10","5"
"420068","TRMC OF ORANGEBURG & CALHOUN","3000 ST MATTHEWS RD BOX 1806","Orangeburg","SC","29115","ORANGEBURG","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"140292","ADVENTIST GLENOAKS","701 WINTHROP AVENUE","Glendale Heights","IL","60139","DU PAGE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","Birmingham","AL","35249","JEFFERSON","Not Available","Not Available","Not Available","Not Available","0.92537","0 out of 10","0 out of 9","0 out of 10","0"
"450040","COVENANT MEDICAL CENTER","3615 19TH STREET","Lubbock","TX","79410","LUBBOCK","Not Available","Not Available","Not Available","Not Available","0.97727","5 out of 10","7 out of 9","7 out of 10","7"
"060015","CENTURA HEALTH-ST ANTHONY HOSPITAL","11600 WEST 2ND PLACE","Lakewood","CO","80228","JEFFERSON","Not Available","Not Available","Not Available","Not Available","0.98095","6 out of 10","2 out of 9","6 out of 10","6"
"050455","SAN JOAQUIN COMMUNITY HOSPITAL","2615 CHESTER AVENUE","Bakersfield","CA","93301","KERN","Not Available","Not Available","Not Available","Not Available","0.95745","1 out of 10","3 out of 9","3 out of 10","3"
"060112","SKY RIDGE MEDICAL CENTER","10101 RIDGE GATE PARKWAY","Lone Tree","CO","80124","DOUGLAS","Not Available","Not Available","Not Available","Not Available","0.97297","4 out of 10","0 out of 9","4 out of 10","4"
"360013","WILSON MEMORIAL HOSPITAL","915 WEST MICHIGAN STREET","Sidney","OH","45365","SHELBY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360147","MARIETTA MEMORIAL HOSPITAL","401 MATTHEW STREET","Marietta","OH","45750","WASHINGTON","Not Available","Not Available","Not Available","Not Available","0.95833","1 out of 10","0 out of 9","1 out of 10","1"
"330158","GOOD SAMARITAN HOSPITAL OF SUFFERN","255 LAFAYETTE AVENUE","Suffern","NY","10901","ROCKLAND","Not Available","Not Available","Not Available","Not Available","0.98182","6 out of 10","8 out of 9","8 out of 10","8"
"180010","SAINT JOSEPH HOSPITAL","ONE SAINT JOSEPH DRIVE","Lexington","KY","40504","FAYETTE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"380061","PROVIDENCE PORTLAND MEDICAL CENTER","4805 NE GLISAN STREET","Portland","OR","97213","MULTNOMAH","Not Available","Not Available","Not Available","Not Available","0.94444","0 out of 10","5 out of 9","5 out of 10","5"
"230037","HILLSDALE COMMUNITY HEALTH CENTER","168 S HOWELL STREET","Hillsdale","MI","49242","HILLSDALE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"140288","ADVOCATE GOOD SAMARITAN HOSPITAL","3815 HIGHLAND AVENUE","Downers Grove","IL","60515","DU PAGE","Not Available","Not Available","Not Available","Not Available","0.98039","6 out of 10","0 out of 9","6 out of 10","6"
"050464","DOCTORS MEDICAL CENTER","1441 FLORIDA AVENUE","Modesto","CA","95350","STANISLAUS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"220073","MORTON HOSPITAL","88 WASHINGTON STREET","Taunton","MA","02780","BRISTOL","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050663","LOS ANGELES COMMUNITY HOSPITAL","4081 E OLYMPIC BLVD","Los Angeles","CA","90023","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390100","LANCASTER GENERAL HOSPITAL","555 NORTH DUKE STREET","Lancaster","PA","17602","LANCASTER","Not Available","Not Available","Not Available","Not Available","0.90769","0 out of 10","0 out of 9","0 out of 10","0"
"450828","CHRISTUS SPOHN HOSPITAL ALICE","2500 E MAIN STREET","Alice","TX","78332","JIM WELLS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","Yuma","AZ","853647127","YUMA","Not Available","Not Available","Not Available","Not Available","0.85714","0 out of 10","0 out of 9","0 out of 10","0"
"180004","MUHLENBERG COMMUNITY HOSPITAL","440 HOPKINSVILLE STREET","Greenville","KY","42345","MUHLENBERG","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"220049","MARLBOROUGH HOSPITAL","157 UNION STREET","Marlborough","MA","01752","MIDDLESEX","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110041","HABERSHAM COUNTY MEDICAL CTR","541 HISTORIC HIGHWAY 441-NORTH","Demorest","GA","30535","HABERSHAM","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
