Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"290045","ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS","3001 ST ROSE PARKWAY","Henderson","NV","89052","CLARK","0.858737","7 out of 10","8 out of 9","8 out of 10","0.847366","0 out of 10","0 out of 9","0 out of 10","0.842677","0 out of 10","0 out of 9","0 out of 10","0.659822","0 out of 10","3 out of 9","3 out of 10","0.534","0 out of 10","0 out of 9","0 out of 10"
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","Las Vegas","NV","89118","CLARK","0.841425","0 out of 10","0 out of 9","0 out of 10","0.883628","2 out of 10","1 out of 9","2 out of 10","0.883711","1 out of 10","0 out of 9","1 out of 10","0.568145","3 out of 10","2 out of 9","3 out of 10","0.446","0 out of 10","0 out of 9","0 out of 10"
"290047","SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER","9300 WEST SUNSET RD","Las Vegas","NV","89148","CLARK","0.855086","Not Available","Not Available","Not Available","0.890651","5 out of 10","0 out of 9","5 out of 10","0.877307","0 out of 10","0 out of 9","0 out of 10","0.592441","2 out of 10","1 out of 9","2 out of 10","1.312","0 out of 10","0 out of 9","0 out of 10"
"290049","RENOWN SOUTH MEADOWS MEDICAL CENTER","10101 DOUBLE R BLVD","Reno","NV","89521","CARSON CITY","0.855549","Not Available","Not Available","Not Available","0.870870","Not Available","Not Available","Not Available","0.891179","4 out of 10","2 out of 9","4 out of 10","0.454545","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"290051","SIERRA SURGERY HOSPITAL","1400 MEDICAL PKWY","Carson City","NV","89703","CARSON CITY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.500885","7 out of 10","6 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"290053","ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS","8280 W WARM SPRINGS ROAD","Las Vegas","NV","89113","CLARK","0.856321","Not Available","Not Available","Not Available","0.876671","0 out of 10","0 out of 9","0 out of 10","0.877299","0 out of 10","0 out of 9","0 out of 10","0.519817","6 out of 10","5 out of 9","6 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"290054","CENTENNIAL HILLS HOSPITAL MEDICAL CENTER","6900 N DURANGO DR","Las Vegas","NV","89149","CLARK","0.854456","5 out of 10","5 out of 9","5 out of 10","0.887101","3 out of 10","0 out of 9","3 out of 10","0.886273","2 out of 10","2 out of 9","2 out of 10","0.692441","0 out of 10","0 out of 9","0 out of 10","0.347","2 out of 10","0 out of 9","2 out of 10"
"300001","CONCORD HOSPITAL","250 PLEASANT ST","Concord","NH","03301","MERRIMACK","0.862248","9 out of 10","9 out of 9","9 out of 10","0.882268","1 out of 10","6 out of 9","6 out of 10","0.910941","10 out of 10","9 out of 9","10 out of 10","0.474079","8 out of 10","0 out of 9","8 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"300003","MARY HITCHCOCK MEMORIAL HOSPITAL","1 MEDICAL CENTER DRIVE","Lebanon","NH","03756","GRAFTON","0.868581","10 out of 10","9 out of 9","10 out of 10","0.876018","0 out of 10","1 out of 9","1 out of 10","0.898888","7 out of 10","8 out of 9","8 out of 10","0.854630","0 out of 10","4 out of 9","4 out of 10","0.426","1 out of 10","3 out of 9","3 out of 10"
"300005","LAKES REGION GENERAL HOSPITAL","80 HIGHLAND ST","Laconia","NH","03246","BELKNAP","0.857902","Not Available","Not Available","Not Available","0.866161","0 out of 10","4 out of 9","4 out of 10","0.884147","1 out of 10","0 out of 9","1 out of 10","0.489338","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"300011","ST JOSEPH HOSPITAL","172 KINSLEY ST","Nashua","NH","03060","HILLSBOROUGH","0.851166","3 out of 10","0 out of 9","3 out of 10","0.874699","0 out of 10","0 out of 9","0 out of 10","0.898237","7 out of 10","7 out of 9","7 out of 10","0.697172","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"300012","ELLIOT HOSPITAL","1 ELLIOT WAY","Manchester","NH","03103","HILLSBOROUGH","0.859198","8 out of 10","7 out of 9","8 out of 10","0.883508","1 out of 10","3 out of 9","3 out of 10","0.885176","2 out of 10","4 out of 9","4 out of 10","0.507799","6 out of 10","5 out of 9","6 out of 10","0.221","5 out of 10","8 out of 9","8 out of 10"
"300014","FRISBIE MEMORIAL HOSPITAL","11 WHITEHALL ROAD","Rochester","NH","03867","STRAFFORD","0.854971","Not Available","Not Available","Not Available","0.886346","3 out of 10","1 out of 9","3 out of 10","0.890643","4 out of 10","0 out of 9","4 out of 10","0.541906","5 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"300017","PARKLAND MEDICAL CENTER","1 PARKLAND DRIVE","Derry","NH","03038","ROCKINGHAM","0.857659","7 out of 10","4 out of 9","7 out of 10","0.894602","7 out of 10","0 out of 9","7 out of 10","0.883109","1 out of 10","3 out of 9","3 out of 10","0.454852","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"300018","WENTWORTH-DOUGLASS HOSPITAL","789 CENTRAL AVE","Dover","NH","03820","STRAFFORD","0.858519","7 out of 10","8 out of 9","8 out of 10","0.893008","6 out of 10","6 out of 9","6 out of 10","0.881132","0 out of 10","0 out of 9","0 out of 10","0.467842","9 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"300019","CHESHIRE MEDICAL CENTER","580 COURT STREET","Keene","NH","03431","CHESHIRE","0.857068","Not Available","Not Available","Not Available","0.864850","0 out of 10","0 out of 9","0 out of 10","0.887134","2 out of 10","6 out of 9","6 out of 10","0.474079","8 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"300020","SOUTHERN NH MEDICAL CENTER","8 PROSPECT STREET","Nashua","NH","03060","HILLSBOROUGH","0.865154","10 out of 10","9 out of 9","10 out of 10","0.883275","1 out of 10","0 out of 9","1 out of 10","0.875940","0 out of 10","0 out of 9","0 out of 10","0.503174","7 out of 10","0 out of 9","7 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"300023","EXETER HOSPITAL INC","5 ALUMNI DRIVE","Exeter","NH","03833","ROCKINGHAM","0.862136","9 out of 10","9 out of 9","9 out of 10","0.876003","0 out of 10","0 out of 9","0 out of 10","0.905607","10 out of 10","9 out of 9","10 out of 10","0.282372","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"300029","PORTSMOUTH REGIONAL HOSPITAL","333 BORTHWICK AVE","Portsmouth","NH","03801","ROCKINGHAM","0.852973","4 out of 10","3 out of 9","4 out of 10","0.872766","0 out of 10","2 out of 9","2 out of 10","0.901109","8 out of 10","8 out of 9","8 out of 10","0.519105","6 out of 10","3 out of 9","6 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"300034","CATHOLIC MEDICAL CENTER","100 MCGREGOR STREET","Manchester","NH","03102","HILLSBOROUGH","0.875548","10 out of 10","9 out of 9","10 out of 10","0.895286","7 out of 10","7 out of 9","7 out of 10","0.889913","4 out of 10","6 out of 9","6 out of 10","0.695904","0 out of 10","0 out of 9","0 out of 10","0.825","0 out of 10","0 out of 9","0 out of 10"
"310001","HACKENSACK UNIVERSITY MEDICAL CENTER","30 PROSPECT AVE","Hackensack","NJ","07601","BERGEN","0.866341","10 out of 10","9 out of 9","10 out of 10","0.880710","0 out of 10","0 out of 9","0 out of 10","0.895569","6 out of 10","0 out of 9","6 out of 10","0.410462","10 out of 10","9 out of 9","10 out of 10","0.598","0 out of 10","1 out of 9","1 out of 10"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","Newark","NJ","07112","ESSEX","0.845931","0 out of 10","0 out of 9","0 out of 10","0.876347","0 out of 10","0 out of 9","0 out of 10","0.895994","6 out of 10","3 out of 9","6 out of 10","0.777794","0 out of 10","0 out of 9","0 out of 10","0.285","4 out of 10","1 out of 9","4 out of 10"
"310003","PALISADES MEDICAL CENTER","7600 RIVER RD","North Bergen","NJ","07047","HUDSON","0.846021","0 out of 10","0 out of 9","0 out of 10","0.874785","0 out of 10","0 out of 9","0 out of 10","0.881448","0 out of 10","0 out of 9","0 out of 10","0.556090","4 out of 10","6 out of 9","6 out of 10","1.667","0 out of 10","0 out of 9","0 out of 10"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","Flemington","NJ","08822","HUNTERDON","0.848851","1 out of 10","0 out of 9","1 out of 10","0.879580","0 out of 10","4 out of 9","4 out of 10","0.882493","0 out of 10","0 out of 9","0 out of 10","0.425858","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"310006","ST MARY'S GENERAL HOSPITAL","350 BOULEVARD","Passaic","NJ","07055","PASSAIC","0.846133","0 out of 10","0 out of 9","0 out of 10","0.878423","0 out of 10","0 out of 9","0 out of 10","0.869091","0 out of 10","0 out of 9","0 out of 10","0.556610","4 out of 10","0 out of 9","4 out of 10","1.378","0 out of 10","0 out of 9","0 out of 10"
"310008","HOLY NAME MEDICAL CENTER","718 TEANECK RD","Teaneck","NJ","07666","BERGEN","0.866280","10 out of 10","9 out of 9","10 out of 10","0.900421","10 out of 10","9 out of 9","10 out of 10","0.894024","5 out of 10","0 out of 9","5 out of 10","0.519466","6 out of 10","3 out of 9","6 out of 10","1.146","0 out of 10","0 out of 9","0 out of 10"
"310009","CLARA MAASS MEDICAL CENTER","ONE CLARA MAAS DRIVE","Belleville","NJ","07109","ESSEX","0.837852","0 out of 10","0 out of 9","0 out of 10","0.895539","7 out of 10","0 out of 9","7 out of 10","0.877732","0 out of 10","0 out of 9","0 out of 10","0.294436","10 out of 10","9 out of 9","10 out of 10","0.886","0 out of 10","5 out of 9","5 out of 10"
"310010","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","ONE-FIVE PLAINSBORO ROAD","Plainsboro","NJ","08536","MIDDLESEX","0.851418","3 out of 10","0 out of 9","3 out of 10","0.888225","4 out of 10","0 out of 9","4 out of 10","0.875258","0 out of 10","0 out of 9","0 out of 10","0.440717","10 out of 10","9 out of 9","10 out of 10","1.999","0 out of 10","0 out of 9","0 out of 10"
"310011","CAPE REGIONAL MEDICAL CENTER INC","TWO STONE HARBOR BLVD","Cape May Court House","NJ","08210","CAPE MAY","0.857410","7 out of 10","6 out of 9","7 out of 10","0.868155","0 out of 10","0 out of 9","0 out of 10","0.901398","8 out of 10","8 out of 9","8 out of 10","0.511919","6 out of 10","0 out of 9","6 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"310012","VALLEY HOSPITAL","223 N VAN DIEN AVENUE","Ridgewood","NJ","07450","BERGEN","0.863785","10 out of 10","9 out of 9","10 out of 10","0.883112","1 out of 10","0 out of 9","1 out of 10","0.884647","1 out of 10","0 out of 9","1 out of 10","0.475613","8 out of 10","9 out of 9","9 out of 10","1.248","0 out of 10","0 out of 9","0 out of 10"
"310014","COOPER UNIVERSITY HOSPITAL","1 COOPER PLAZA","Camden","NJ","08103","CAMDEN","0.839999","0 out of 10","0 out of 9","0 out of 10","0.883182","1 out of 10","4 out of 9","4 out of 10","0.872409","0 out of 10","0 out of 9","0 out of 10","0.815799","0 out of 10","0 out of 9","0 out of 10","0.365","2 out of 10","5 out of 9","5 out of 10"
"310015","MORRISTOWN MEDICAL CENTER","100 MADISON AVE","Morristown","NJ","07962","MORRIS","0.877088","10 out of 10","9 out of 9","10 out of 10","0.887738","3 out of 10","0 out of 9","3 out of 10","0.921022","10 out of 10","9 out of 9","10 out of 10","0.504254","7 out of 10","8 out of 9","8 out of 10","0.484","0 out of 10","0 out of 9","0 out of 10"
"310016","CAREPOINT HEALTH-CHRIST HOSPITAL","176 PALISADE AVE","Jersey City","NJ","07306","HUDSON","0.855595","5 out of 10","7 out of 9","7 out of 10","0.889867","4 out of 10","7 out of 9","7 out of 10","0.877309","0 out of 10","0 out of 9","0 out of 10","0.444715","10 out of 10","9 out of 9","10 out of 10","0.422","1 out of 10","4 out of 9","4 out of 10"
"310017","CHILTON MEDICAL CENTER","97 WEST PARKWAY","Pompton Plains","NJ","07444","MORRIS","0.871171","10 out of 10","9 out of 9","10 out of 10","0.871265","0 out of 10","0 out of 9","0 out of 10","0.884003","1 out of 10","0 out of 9","1 out of 10","0.729267","0 out of 10","5 out of 9","5 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"310019","ST JOSEPH'S REGIONAL MEDICAL CENTER","703 MAIN ST","Paterson","NJ","07503","PASSAIC","0.853652","4 out of 10","4 out of 9","4 out of 10","0.870106","0 out of 10","1 out of 9","1 out of 10","0.885591","2 out of 10","0 out of 9","2 out of 10","0.501810","7 out of 10","5 out of 9","7 out of 10","0.564","0 out of 10","5 out of 9","5 out of 10"
"310021","ST FRANCIS MEDICAL CENTER","601 HAMILTON AVE","Trenton","NJ","08629","MERCER","0.842083","0 out of 10","Not Available","0 out of 10","0.878885","0 out of 10","0 out of 9","0 out of 10","0.861388","Not Available","Not Available","Not Available","0.610737","1 out of 10","3 out of 9","3 out of 10","0.358","2 out of 10","0 out of 9","2 out of 10"
"310022","VIRTUA WEST JERSEY HOSPITALS BERLIN","WHITEHORSE PIKE AND TOWNSEND AVENUE","Marlton","NJ","08053","CAMDEN","0.847945","1 out of 10","0 out of 9","1 out of 10","0.891001","5 out of 10","5 out of 9","5 out of 10","0.897050","7 out of 10","0 out of 9","7 out of 10","0.425312","10 out of 10","9 out of 9","10 out of 10","0.342","2 out of 10","6 out of 9","6 out of 10"
"310024","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","865 STONE ST","Rahway","NJ","07065","UNION","0.824210","0 out of 10","0 out of 9","0 out of 10","0.878758","0 out of 10","3 out of 9","3 out of 10","0.884011","1 out of 10","0 out of 9","1 out of 10","0.427555","10 out of 10","9 out of 9","10 out of 10","0.343","2 out of 10","0 out of 9","2 out of 10"
"310025","CAREPOINT HEALTH - BAYONNE MEDICAL CENTER","29 EAST 29TH ST","Bayonne","NJ","07002","HUDSON","0.854444","5 out of 10","2 out of 9","5 out of 10","0.869406","0 out of 10","0 out of 9","0 out of 10","0.881732","0 out of 10","2 out of 9","2 out of 10","0.353462","10 out of 10","9 out of 9","10 out of 10","0.640","0 out of 10","4 out of 9","4 out of 10"
"310027","TRINITAS REGIONAL MEDICAL CENTER","225 WILLIAMSON STREET","Elizabeth","NJ","07207","UNION","0.841810","0 out of 10","1 out of 9","1 out of 10","0.878230","0 out of 10","3 out of 9","3 out of 10","0.862393","0 out of 10","0 out of 9","0 out of 10","0.588370","2 out of 10","0 out of 9","2 out of 10","0.710","0 out of 10","0 out of 9","0 out of 10"
"310028","NEWTON MEDICAL CENTER","175 HIGH ST","Newton","NJ","07860","SUSSEX","0.847945","1 out of 10","0 out of 9","1 out of 10","0.877172","0 out of 10","0 out of 9","0 out of 10","0.866893","0 out of 10","0 out of 9","0 out of 10","0.468403","9 out of 10","7 out of 9","9 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"310029","OUR LADY OF LOURDES MEDICAL CENTER","1600 HADDON AVENUE","Camden","NJ","08103","CAMDEN","0.850191","2 out of 10","0 out of 9","2 out of 10","0.898509","9 out of 10","7 out of 9","9 out of 10","0.910477","10 out of 10","9 out of 9","10 out of 10","0.445936","10 out of 10","9 out of 9","10 out of 10","0.295","3 out of 10","1 out of 9","3 out of 10"
"310031","DEBORAH HEART AND LUNG CENTER","200 TRENTON ROAD","Browns Mills","NJ","08015","BURLINGTON","0.862318","9 out of 10","9 out of 9","9 out of 10","0.888075","4 out of 10","4 out of 9","4 out of 10","0.875675","Not Available","Not Available","Not Available","0.367870","10 out of 10","9 out of 9","10 out of 10","0.205","5 out of 10","8 out of 9","8 out of 10"
"310032","INSPIRA MEDICAL CENTER VINELAND","1505 W SHERMAN AVE","Vineland","NJ","08360","CUMBERLAND","0.838490","0 out of 10","0 out of 9","0 out of 10","0.893274","6 out of 10","6 out of 9","6 out of 10","0.854436","0 out of 10","0 out of 9","0 out of 10","0.663216","0 out of 10","4 out of 9","4 out of 10","1.199","0 out of 10","0 out of 9","0 out of 10"
"310034","RIVERVIEW MEDICAL CENTER","ONE RIVERVIEW PLAZA","Red Bank","NJ","07701","MONMOUTH","0.853059","4 out of 10","0 out of 9","4 out of 10","0.877801","0 out of 10","0 out of 9","0 out of 10","0.865145","0 out of 10","0 out of 9","0 out of 10","0.488398","7 out of 10","0 out of 9","7 out of 10","0.744","0 out of 10","6 out of 9","6 out of 10"
"310038","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL","ONE ROBERT WOOD JOHNSON PL","New Brunswick","NJ","08901","MIDDLESEX","0.852259","3 out of 10","5 out of 9","5 out of 10","0.873633","0 out of 10","0 out of 9","0 out of 10","0.862997","0 out of 10","0 out of 9","0 out of 10","0.611436","1 out of 10","5 out of 9","5 out of 10","1.024","0 out of 10","0 out of 9","0 out of 10"
"310039","RARITAN BAY MEDICAL CENTER","530 NEW BRUNSWICK AVE","Perth Amboy","NJ","08861","MIDDLESEX","0.857800","7 out of 10","8 out of 9","8 out of 10","0.887679","3 out of 10","0 out of 9","3 out of 10","0.881628","0 out of 10","0 out of 9","0 out of 10","0.717808","0 out of 10","0 out of 9","0 out of 10","0.508","0 out of 10","0 out of 9","0 out of 10"
"310040","CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER","308 WILLOW AVE","Hoboken","NJ","07030","HUDSON","0.861073","Not Available","Not Available","Not Available","0.886493","3 out of 10","0 out of 9","3 out of 10","0.897566","7 out of 10","6 out of 9","7 out of 10","0.552947","4 out of 10","4 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"310041","COMMUNITY MEDICAL CENTER","99 RT 37 WEST","Toms River","NJ","08755","OCEAN","0.859317","8 out of 10","8 out of 9","8 out of 10","0.869153","0 out of 10","0 out of 9","0 out of 10","0.864724","0 out of 10","0 out of 9","0 out of 10","0.402342","10 out of 10","9 out of 9","10 out of 10","0.302","3 out of 10","4 out of 9","4 out of 10"
"310044","CAPITAL HEALTH MEDICAL CENTER - HOPEWELL","ONE CAPITAL WAY","Pennington","NJ","08534","MERCER","0.845588","Not Available","Not Available","Not Available","0.889692","4 out of 10","5 out of 9","5 out of 10","0.893855","5 out of 10","6 out of 9","6 out of 10","0.811801","0 out of 10","0 out of 9","0 out of 10","0.928","0 out of 10","0 out of 9","0 out of 10"
"310045","ENGLEWOOD HOSPITAL AND MEDICAL CENTER","350 ENGLE ST","Englewood","NJ","07631","BERGEN","0.876337","10 out of 10","9 out of 9","10 out of 10","0.884116","2 out of 10","0 out of 9","2 out of 10","0.912291","10 out of 10","9 out of 9","10 out of 10","0.397763","10 out of 10","9 out of 9","10 out of 10","0.435","1 out of 10","0 out of 9","1 out of 10"
"310047","SHORE MEDICAL CENTER","100 MEDICAL CENTER WAY","Somers Point","NJ","08244","ATLANTIC","0.847971","1 out of 10","2 out of 9","2 out of 10","0.868792","0 out of 10","0 out of 9","0 out of 10","0.910682","10 out of 10","9 out of 9","10 out of 10","0.441130","10 out of 10","9 out of 9","10 out of 10","1.493","0 out of 10","1 out of 9","1 out of 10"
"310048","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET","110 REHILL AVE","Somerville","NJ","08876","SOMERSET","0.846925","0 out of 10","4 out of 9","4 out of 10","0.886345","3 out of 10","5 out of 9","5 out of 10","0.894571","5 out of 10","8 out of 9","8 out of 10","0.619847","0 out of 10","5 out of 9","5 out of 10","0.620","0 out of 10","2 out of 9","2 out of 10"
"310050","SAINT CLARE'S HOSPITAL","25 POCONO ROAD","Denville","NJ","07834","MORRIS","0.860811","9 out of 10","8 out of 9","9 out of 10","0.854809","0 out of 10","0 out of 9","0 out of 10","0.889685","3 out of 10","0 out of 9","3 out of 10","0.422842","10 out of 10","9 out of 9","10 out of 10","0.874","0 out of 10","0 out of 9","0 out of 10"
"310051","OVERLOOK MEDICAL CENTER","99 BEAUVOIR AVENUE","Summit","NJ","07902","UNION","0.846363","0 out of 10","0 out of 9","0 out of 10","0.888481","4 out of 10","7 out of 9","7 out of 10","0.859411","0 out of 10","0 out of 9","0 out of 10","0.730576","0 out of 10","2 out of 9","2 out of 10","0.541","0 out of 10","3 out of 9","3 out of 10"
"310052","OCEAN MEDICAL CENTER","425 JACK MARTIN BLVD","Brick","NJ","08724","OCEAN","0.845089","0 out of 10","0 out of 9","0 out of 10","0.881056","0 out of 10","4 out of 9","4 out of 10","0.887279","2 out of 10","0 out of 9","2 out of 10","0.474279","8 out of 10","9 out of 9","9 out of 10","2.419","0 out of 10","0 out of 9","0 out of 10"
"310054","HACKENSACK-UMC MOUNTAINSIDE","BAY AND HIGHLAND AVE","Montclair","NJ","07042","ESSEX","0.866775","10 out of 10","9 out of 9","10 out of 10","0.884545","2 out of 10","0 out of 9","2 out of 10","0.902546","9 out of 10","9 out of 9","9 out of 10","0.467279","9 out of 10","9 out of 9","9 out of 10","1.299","0 out of 10","1 out of 9","1 out of 10"
"310057","VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","175 MADISON AVE","Mount Holly","NJ","08060","BURLINGTON","0.851254","3 out of 10","0 out of 9","3 out of 10","0.880922","0 out of 10","3 out of 9","3 out of 10","0.893884","5 out of 10","4 out of 9","5 out of 10","0.379260","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"310058","BERGEN REGIONAL MEDICAL CENTER","230 EAST RIDGEWOOD AVE","Paramus","NJ","07652","BERGEN","0.857818","Not Available","Not Available","Not Available","0.880877","Not Available","Not Available","Not Available","0.877541","0 out of 10","0 out of 9","0 out of 10","0.466989","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"310060","ST LUKE'S WARREN HOSPITAL","185 ROSEBERRY ST","Phillipsburg","NJ","08865","WARREN","0.852740","Not Available","Not Available","Not Available","0.894337","7 out of 10","8 out of 9","8 out of 10","0.890609","4 out of 10","6 out of 9","6 out of 10","0.553420","4 out of 10","0 out of 9","4 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"310061","LOURDES MEDICAL CENTER OF BURLINGTON COUNTY","218A SUNSET ROAD","Willingboro","NJ","08046","BURLINGTON","0.845002","0 out of 10","0 out of 9","0 out of 10","0.878598","0 out of 10","0 out of 9","0 out of 10","0.881909","0 out of 10","0 out of 9","0 out of 10","0.639420","0 out of 10","1 out of 9","1 out of 10","0.464","0 out of 10","0 out of 9","0 out of 10"
"310064","ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV","65 WEST JIMMIE LEEDS ROAD","Atlantic City","NJ","08401","ATLANTIC","0.850770","2 out of 10","0 out of 9","2 out of 10","0.887940","4 out of 10","0 out of 9","4 out of 10","0.898800","7 out of 10","4 out of 9","7 out of 10","0.375166","10 out of 10","9 out of 9","10 out of 10","0.419","1 out of 10","3 out of 9","3 out of 10"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET","Elmer","NJ","08318","SALEM","0.858084","Not Available","Not Available","Not Available","0.890143","5 out of 10","0 out of 9","5 out of 10","0.872504","0 out of 10","0 out of 9","0 out of 10","0.541422","5 out of 10","4 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","New Brunswick","NJ","08901","MIDDLESEX","0.837834","0 out of 10","0 out of 9","0 out of 10","0.879801","0 out of 10","0 out of 9","0 out of 10","0.915813","10 out of 10","9 out of 9","10 out of 10","0.520328","6 out of 10","8 out of 9","8 out of 10","0.982","0 out of 10","0 out of 9","0 out of 10"
"310073","JERSEY SHORE UNIVERSITY MEDICAL CENTER","1945 RTE 33","Neptune","NJ","07754","MONMOUTH","0.864978","10 out of 10","9 out of 9","10 out of 10","0.884068","2 out of 10","0 out of 9","2 out of 10","0.918755","10 out of 10","9 out of 9","10 out of 10","0.580558","2 out of 10","5 out of 9","5 out of 10","0.828","0 out of 10","0 out of 9","0 out of 10"
"310074","JERSEY CITY MEDICAL CENTER","355 GRAND STREET","Jersey City","NJ","07302","HUDSON","0.883511","10 out of 10","9 out of 9","10 out of 10","0.888900","4 out of 10","0 out of 9","4 out of 10","0.895776","6 out of 10","2 out of 9","6 out of 10","0.426434","10 out of 10","9 out of 9","10 out of 10","0.908","0 out of 10","0 out of 9","0 out of 10"
"310075","MONMOUTH MEDICAL CENTER","300 SECOND AVENUE","Long Branch","NJ","07740","MONMOUTH","0.853977","4 out of 10","0 out of 9","4 out of 10","0.875045","0 out of 10","0 out of 9","0 out of 10","0.912933","10 out of 10","9 out of 9","10 out of 10","0.559697","4 out of 10","3 out of 9","4 out of 10","0.696","0 out of 10","0 out of 9","0 out of 10"
"310076","SAINT BARNABAS MEDICAL CENTER","94 OLD SHORT HILLS ROAD","Livingston","NJ","07039","ESSEX","0.853140","4 out of 10","0 out of 9","4 out of 10","0.904551","10 out of 10","9 out of 9","10 out of 10","0.894861","6 out of 10","4 out of 9","6 out of 10","0.945281","0 out of 10","1 out of 9","1 out of 10","0.135","7 out of 10","7 out of 9","7 out of 10"
"310081","INSPIRA MEDICAL CENTER WOODBURY","509 N BROAD ST","Woodbury","NJ","08096","GLOUCESTER","0.845002","0 out of 10","0 out of 9","0 out of 10","0.869893","0 out of 10","0 out of 9","0 out of 10","0.876462","0 out of 10","0 out of 9","0 out of 10","0.372358","10 out of 10","9 out of 9","10 out of 10","0.323","3 out of 10","0 out of 9","3 out of 10"
"310083","EAST ORANGE GENERAL HOSPITAL","300 CENTRAL AVE","East Orange","NJ","07018","ESSEX","0.863021","10 out of 10","0 out of 9","10 out of 10","0.897340","8 out of 10","0 out of 9","8 out of 10","0.894258","5 out of 10","2 out of 9","5 out of 10","0.383342","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"310084","MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS","600 RIVER AVE","Lakewood","NJ","08701","OCEAN","0.863963","10 out of 10","9 out of 9","10 out of 10","0.885856","3 out of 10","0 out of 9","3 out of 10","0.895664","6 out of 10","0 out of 9","6 out of 10","0.560945","3 out of 10","0 out of 9","3 out of 10","0.571","0 out of 10","7 out of 9","7 out of 10"
"310086","KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV","18 EAST LAUREL ROAD","Stratford","NJ","08084","CAMDEN","0.869742","10 out of 10","9 out of 9","10 out of 10","0.905535","10 out of 10","9 out of 9","10 out of 10","0.903322","9 out of 10","9 out of 9","9 out of 10","0.493605","7 out of 10","6 out of 9","7 out of 10","0.522","0 out of 10","4 out of 9","4 out of 10"
